(YUV,NewYuv)
(HSL,NewHsl)
(HSV,NewHsv)
(HSB,NewHsb)
(HSI,NewHsi)
(HWB,NewHwb)
(hue,ScaleHue)
(lightness,ScaleLightness)
(value,ScaleValue)
(brightness,ScaleBrightness)
(intensity,ScaleIntensity)
(y,ScaleY)
(u,ScaleU)
(v,ScaleV)
(rgb,ScaleRgb)
(rgba,ScaleRgba)
(yuv,ScaleYuv)
(yuva,ScaleYuva)
(hsl,ScaleHsl)
(hsla,ScaleHsla)
(hsv,ScaleHsv)
(hsva,ScaleHsva)
(hsb,ScaleHsb)
(hsba,ScaleHsba)
(hsi,ScaleHsi)
(hsia,ScaleHsia)
(hwb,ScaleHwb)
(hwba,ScaleHwba)
(valueOf,ValueOf)
(toString,ToString)
(limit,Limit)
(begin,Begin)
(blur,Blur)
(close,Close)
(color,Color)
(comment,Comment)
(copy,Copy)
(crop,Crop)
(end,End)
(extent,Extent)
(filter,Filter)
(flip,Flip)
(flop,Flop)
(format,Format)
(histogram,Histogram)
(negate,Negate)
(noise,Noise)
(normalize,Normalize)
(oil,Oil)
(properties,Properties)
(ping,Ping)
(quality,Quality)
(quantize,Quantize)
(read,Read)
(reset,Reset)
(resize,Resize)
(restore,Restore)
(rotate,Rotate)
(sharpen,Sharpen)
(size,Size)
(strip,Strip)
(trim,Trim)
(type,Type)
(write,Write)
(_hold,UnderscoreHold)
(_wrap,UnderscoreWrap)
(2,errmsg)
(4,errmsg)
(1,errmsg)
(0,Color)
(1,Integer)
(0,Integer)
(0,Number)
(1,Number)
(2,Number)
(3,Number)
(busy,GetIsBusy)
(empty,GetIsEmpty)
(batchSize,GetBatchSize)
(isSync,GetIsSync)
(0,NanUtf8String)
