(encodeSync,encodeSync)
(encode,encode)
(save,save)
(width,width)
(height,height)
(isSolid,isSolid)
(isSolidSync,isSolidSync)
(getPixel,getPixel)
(forward,forward)
(inverse,inverse)
(backward,backward)
(extent,extent)
(type,type)
(toWKB,toWKB)
(toWKT,toWKT)
(toJSON,toJSON)
(toJSONSync,toJSONSync)
(parameters,parameters)
(describe,describe)
(featureset,featureset)
(fields,fields)
(toString,toString)
(evaluate,evaluate)
(rgb2hsl,rgb2hsl)
(hsl2rgb,hsl2rgb)
(clearCache,clearCache)
(hex,hex)
(add,add)
(render,render)
(setData,setData)
(setDataSync,setDataSync)
(getData,getData)
(getDataSync,getDataSync)
(addData,addData)
(addDataSync,addDataSync)
(composite,composite)
(compositeSync,compositeSync)
(query,query)
(queryMany,queryMany)
(bufferedExtent,bufferedExtent)
(names,names)
(layer,layer)
(emptyLayers,emptyLayers)
(paintedLayers,paintedLayers)
(toGeoJSON,toGeoJSON)
(toGeoJSONSync,toGeoJSONSync)
(addGeoJSON,addGeoJSON)
(addImage,addImage)
(addImageSync,addImageSync)
(addImageBuffer,addImageBuffer)
(addImageBufferSync,addImageBufferSync)
(painted,painted)
(clear,clear)
(clearSync,clearSync)
(empty,empty)
(info,info)
(toString,ToString)
(toBuffer,ToBuffer)
(id,id)
(attributes,attributes)
(geometry,geometry)
(fromJSON,Feature)
(next,next)
(getSeverity,Logger)
(setSeverity,Logger)
(getType,getType)
(setPixel,setPixel)
(view,view)
(saveSync,saveSync)
(setGrayScaleToAlpha,setGrayScaleToAlpha)
(filter,filter)
(filterSync,filterSync)
(fillSync,fillSync)
(fill,fill)
(premultiplySync,premultiplySync)
(premultiply,premultiply)
(premultiplied,premultiplied)
(demultiplySync,demultiplySync)
(demultiply,demultiply)
(compare,compare)
(copy,copy)
(copySync,copySync)
(resize,resize)
(resizeSync,resizeSync)
(data,data)
(open,Image)
(fromBytes,Image)
(openSync,Image)
(fromBytesSync,Image)
(fromBufferSync,Image)
(fromSVG,Image)
(fromSVGSync,Image)
(fromSVGBytes,Image)
(fromSVGBytesSync,Image)
(fonts,fonts)
(fontFiles,fontFiles)
(fontDirectory,fontDirectory)
(loadFonts,loadFonts)
(memoryFonts,memoryFonts)
(registerFonts,registerFonts)
(load,load)
(loadSync,loadSync)
(fromStringSync,fromStringSync)
(fromString,fromString)
(clone,clone)
(toXML,toXML)
(renderSync,renderSync)
(renderFile,renderFile)
(renderFileSync,renderFileSync)
(zoomAll,zoomAll)
(zoomToBox,zoomToBox)
(scale,scale)
(scaleDenominator,scaleDenominator)
(queryPoint,queryPoint)
(queryMapPoint,queryMapPoint)
(add_layer,add_layer)
(get_layer,get_layer)
(layers,layers)
(0,box)
(1,box)
(2,box)
(3,box)
(layer,item)
(distance,item)
(x_hit,item)
(y_hit,item)
(features,features)
(name,layer_msg)
(extent,layer_msg)
(name,layer_name)
(name,layer)
(srs,layer)
(active,layer)
(clear_label_cache,layer)
(minimum_scale_denominator,layer)
(maximum_scale_denominator,layer)
(queryable,layer)
(styles,s)
(datasource,ds)
(1,s)
(featureset,Featureset)
