(encodeSync,encodeSync)
(encode,encode)
(save,save)
(width,width)
(height,height)
(isSolid,isSolid)
(isSolidSync,isSolidSync)
(getPixel,getPixel)
(parameters,parameters)
(describe,describe)
(featureset,featureset)
(add,add)
(fields,fields)
(extent,extent)
(type,type)
(toWKB,toWKB)
(toWKT,toWKT)
(toJSON,toJSON)
(toJSONSync,toJSONSync)
(next,next)
(getSeverity,Logger)
(setSeverity,Logger)
(fonts,fonts)
(fontFiles,fontFiles)
(fontDirectory,fontDirectory)
(loadFonts,loadFonts)
(memoryFonts,memoryFonts)
(registerFonts,registerFonts)
(load,load)
(loadSync,loadSync)
(fromStringSync,fromStringSync)
(fromString,fromString)
(clone,clone)
(clear,clear)
(toXML,toXML)
(resize,resize)
(render,render)
(renderSync,renderSync)
(renderFile,renderFile)
(renderFileSync,renderFileSync)
(zoomAll,zoomAll)
(zoomToBox,zoomToBox)
(scale,scale)
(scaleDenominator,scaleDenominator)
(queryPoint,queryPoint)
(queryMapPoint,queryMapPoint)
(add_layer,add_layer)
(get_layer,get_layer)
(layers,layers)
(rgb2hsl,rgb2hsl)
(hsl2rgb,hsl2rgb)
(clearCache,clearCache)
(hex,hex)
(toString,toString)
(id,id)
(attributes,attributes)
(geometry,geometry)
(fromJSON,Feature)
(getType,getType)
(setPixel,setPixel)
(view,view)
(saveSync,saveSync)
(setGrayScaleToAlpha,setGrayScaleToAlpha)
(painted,painted)
(composite,composite)
(filter,filter)
(filterSync,filterSync)
(fillSync,fillSync)
(fill,fill)
(premultiplySync,premultiplySync)
(premultiply,premultiply)
(premultiplied,premultiplied)
(demultiplySync,demultiplySync)
(demultiply,demultiply)
(clearSync,clearSync)
(compare,compare)
(copy,copy)
(copySync,copySync)
(resizeSync,resizeSync)
(data,data)
(open,Image)
(fromBytes,Image)
(openSync,Image)
(fromBytesSync,Image)
(fromBufferSync,Image)
(fromSVG,Image)
(fromSVGSync,Image)
(fromSVGBytes,Image)
(fromSVGBytesSync,Image)
(evaluate,evaluate)
(setData,setData)
(setDataSync,setDataSync)
(getData,getData)
(getDataSync,getDataSync)
(addData,addData)
(addDataSync,addDataSync)
(compositeSync,compositeSync)
(query,query)
(queryMany,queryMany)
(bufferedExtent,bufferedExtent)
(names,names)
(layer,layer)
(emptyLayers,emptyLayers)
(paintedLayers,paintedLayers)
(toGeoJSON,toGeoJSON)
(toGeoJSONSync,toGeoJSONSync)
(addGeoJSON,addGeoJSON)
(addImage,addImage)
(addImageSync,addImageSync)
(addImageBuffer,addImageBuffer)
(addImageBufferSync,addImageBufferSync)
(empty,empty)
(info,info)
(toString,ToString)
(toBuffer,ToBuffer)
(forward,forward)
(inverse,inverse)
(backward,backward)
(featureset,Featureset)
(name,layer)
(srs,layer)
(active,layer)
(clear_label_cache,layer)
(minimum_scale_denominator,layer)
(maximum_scale_denominator,layer)
(queryable,layer)
(styles,s)
(datasource,ds)
(layer,item)
(distance,item)
(x_hit,item)
(y_hit,item)
(features,features)
(name,layer_msg)
(extent,layer_msg)
(name,layer_name)
(1,s)
(0,box)
(1,box)
(2,box)
(3,box)
