(shutdown,fnShutdown)
(control,fnControl)
(connect,fnConnect)
(getViewNode,fnGetViewNode)
(getMgmtNode,fnGetMgmtNode)
(_errorTest,fnErrorTest)
(setConnectCallback,fnSetConnectCallback)
(setTranscoder,fnSetTranscoder)
(lcbVersion,fnLcbVersion)
(get,fnGet)
(getReplica,fnGetReplica)
(touch,fnTouch)
(unlock,fnUnlock)
(remove,fnRemove)
(store,fnStore)
(arithmetic,fnArithmetic)
(durability,fnDurability)
(viewQuery,fnViewQuery)
(n1qlQuery,fnN1qlQuery)
(_setErrorClass,sfnSetErrorClass)
(toString,fnToString)
(toJSON,fnToString)
(inspect,fnInspect)
(setConnectCallback,fnSetConnectCallback)
(setTranscoder,fnSetTranscoder)
(_setErrorClass,sfnSetErrorClass)
(create,SetHandler)
(cp,SetHandler)
(create,SetHandler)
(cp,SetHandler)
