(execute,Execute)
(cleanup,Cleanup)
(next,Next)
(previous,Previous)
(reset,Reset)
(_close,Close)
(version,Version)
(setloglevel,SetLogLevel)
(geterrormessage,GetErrorMessage)
(logmessage,LogMessage)
(charset,Charset)
(open,Open)
(close,Close)
(get,Get)
(get_bx,Get_bx)
(set,Set)
(defined,Defined)
(delete,Delete)
(increment,Increment)
(lock,Lock)
(unlock,Unlock)
(mglobal,MGlobal)
(mglobal_close,MGlobal_Close)
(mglobalquery,MGlobalQuery)
(mglobalquery_close,MGlobalQuery_Close)
(sql,SQL)
(sql_close,SQL_Close)
(sleep,Sleep)
(dump,Dump)
(benchmark,Benchmark)
(merge,Merge)
