(done,Done)
(negotiate,Negotiate)
(getsymval,SMFI_GetSymbol)
(setsymlist,SMFI_SetSymbolList)
(setreply,SMFI_SetReply)
(setmlreply,SMFI_SetMultilineReply)
(progress,SMFI_Progress)
(quarantine,SMFI_Quarantine)
(addheader,SMFI_AddHeader)
(chgheader,SMFI_ChangeHeader)
(insheader,SMFI_InsertHeader)
(replacebody,SMFI_ReplaceBody)
(addrcpt,SMFI_AddRecipient)
(addrcpt_par,SMFI_AddRecipientExtended)
(delrcpt,SMFI_DelRecipient)
(chgfrom,SMFI_ChangeFrom)
(start,milter_start)
(setbacklog,milter_setbacklog)
(setdbg,milter_setdbg)
(settimeout,milter_settimeout)
(stop,milter_stop)
(version,milter_version)
