(createWindow,createWindow)
(disposeWindow,disposeWindow)
(getDc,getDc)
(releaseDc,releaseDc)
(measureText,measureText)
(createFont,createFont)
(deleteObject,deleteObject)
(getDpiOfHdc,getDpiOfHdc)
(printerDialog,printerDialog)
(parseDevmode,parseDevmode)
(parseDevnames,parseDevnames)
(createDc,createDc)
(deleteDc,deleteDc)
(beginPrint,beginPrint)
(endPrint,endPrint)
(abortPrint,abortPrint)
(startPage,startPage)
(endPage,endPage)
(moveTo,moveTo)
(lineTo,lineTo)
(textOut,textOut)
(selectObject,selectObject)
(setTextColor,setTextColor)
(createPen,createPen)
(setBkMode,setBkMode)
