(getAlphaMod,GetAlphaMod)
(getBlendMode,GetBlendMode)
(getColorMod,GetColorMod)
(getFormat,GetFormat)
(getSize,GetSize)
(getWidth,GetWidth)
(getHeight,GetHeight)
(setAlphaMod,SetAlphaMod)
(setBlendMode,SetBlendMode)
(setColorMod,SetColorMod)
(update,Update)
(setModState,SetModState)
(setTextInputRect,SetTextInputRect)
(setRelativeMouseMode,SetRelativeMouseMode)
(free,FreeCursor)
(set,SetCursor)
(getBrightness,GetBrightness)
(getDisplayMode,GetDisplayMode)
(getDisplayIndex,GetDisplayIndex)
(getFlags,GetFlags)
(getGammaRamp,GetGammaRamp)
(getGrab,GetGrab)
(getWindowID,GetWindowID)
(getMaximumSize,GetMaximumSize)
(getMinimumSize,GetMinimumSize)
(getPixelFormat,GetPixelFormat)
(getPosition,GetPosition)
(getSurface,GetSurface)
(getTitle,GetTitle)
(hide,Hide)
(show,Show)
(minimize,Minimize)
(maximize,Maximize)
(raise,Raise)
(restore,Restore)
(setBordered,SetBordered)
(setBrightness,SetBrightness)
(setDisplayMode,SetDisplayMode)
(setFullscreen,SetFullscreen)
(setGammeRamp,SetGammaRamp)
(setGrab,SetGrab)
(setIcon,SetIcon)
(setMaximumSize,SetMaximumSize)
(setMinimumSize,SetMinimumSize)
(setPosition,SetPosition)
(setSize,SetSize)
(setTitle,SetTitle)
(updateWindowSurface,UpdateWindowSurface)
(updateWindowSurfaceRects,UpdateWindowSurfaceRects)
(renderTextSolid,RenderTextSolid)
(renderUtf8Solid,RenderUTF8Solid)
(renderUnicodeSolid,RenderUnicodeSolid)
(renderGlyphSolid,RenderGlyphSolid)
(renderTextShaded,RenderTextShaded)
(renderUtf8Shaded,RenderUTF8Shaded)
(renderUnicodeShaded,RenderUnicodeShaded)
(renderGlyphShaded,RenderGlyphShaded)
(renderTextBlended,RenderTextBlended)
(renderUtf8Blended,RenderUTF8Blended)
(renderUnicodeBlended,RenderUnicodeBlended)
(renderGlyphBlended,RenderGlyphBlended)
(ncolors,GetNcolors)
(colors,GetColors)
(format,GetDisplayModeFormat)
(w,GetDisplayModeWidth)
(h,GetDisplayModeHeight)
(refreshRate,GetDisplayModeRefreshRate)
(format,GetFormatFormat)
(palette,GetFormatPalette)
(bitsPerPixel,GetFormatBits)
(bytesPerPixel,GetFormatBytes)
(rmask,GetFormatRmask)
(gmask,GetFormatGmask)
(bmask,GetFormatBmask)
(amask,GetFormatAmask)
(name,GetRendererInfoName)
(flags,GetRendererInfoFlags)
(numTextureFormats,GetRendererInfoNumTextureFormats)
(textureFormats,GetRendererInfoTextureFormats)
(maxTextureWidth,GetRendererInfoMaxTextureWidth)
(maxTextureHeight,GetRendererInfoMaxTextureHeight)
(getColor,GetColor)
(toString,ToString)
(fingerID,GetFingerID)
(x,GetX)
(y,GetY)
(pressure,GetPressure)
(loadBMP,LoadBMP)
(loadBMPRW,LoadBMPRW)
(saveBMP,SaveBMP)
(saveBMPRW,SaveBMPRW)
(blitScaled,BlitScaled)
(blitSurface,BlitSurface)
(lowerBlit,LowerBlit)
