(affectedRowsSync,AffectedRowsSync)
(autoCommitSync,AutoCommitSync)
(changeUserSync,ChangeUserSync)
(commitSync,CommitSync)
(connect,Connect)
(connectSync,ConnectSync)
(connectedSync,ConnectedSync)
(closeSync,CloseSync)
(debugSync,DebugSync)
(dumpDebugInfoSync,DumpDebugInfoSync)
(errnoSync,ErrnoSync)
(errorSync,ErrorSync)
(escapeSync,EscapeSync)
(fieldCountSync,FieldCountSync)
(getCharsetSync,GetCharsetSync)
(getCharsetNameSync,GetCharsetNameSync)
(getClientInfoSync,GetClientInfoSync)
(getInfoSync,GetInfoSync)
(getInfoStringSync,GetInfoStringSync)
(getWarningsSync,GetWarningsSync)
(initSync,InitSync)
(initStatementSync,InitStatementSync)
(lastInsertIdSync,LastInsertIdSync)
(multiMoreResultsSync,MultiMoreResultsSync)
(multiNextResultSync,MultiNextResultSync)
(multiRealQuerySync,MultiRealQuerySync)
(pingSync,PingSync)
(query,Query)
(querySend,QuerySend)
(querySync,QuerySync)
(realConnectSync,RealConnectSync)
(realQuerySync,RealQuerySync)
(rollbackSync,RollbackSync)
(selectDbSync,SelectDbSync)
(setCharsetSync,SetCharsetSync)
(setOptionSync,SetOptionSync)
(setSslSync,SetSslSync)
(sqlStateSync,SqlStateSync)
(statSync,StatSync)
(storeResultSync,StoreResultSync)
(threadIdSync,ThreadIdSync)
(threadSafeSync,ThreadSafeSync)
(useResultSync,UseResultSync)
(warningCountSync,WarningCountSync)
(dataSeekSync,DataSeekSync)
(fetchAll,FetchAll)
(fetchAllSync,FetchAllSync)
(fetchFieldSync,FetchFieldSync)
(fetchFieldDirectSync,FetchFieldDirectSync)
(fetchFieldsSync,FetchFieldsSync)
(fetchLengthsSync,FetchLengthsSync)
(fetchRowSync,FetchRowSync)
(fieldSeekSync,FieldSeekSync)
(fieldTellSync,FieldTellSync)
(freeSync,FreeSync)
(numRowsSync,NumRowsSync)
(attrGetSync,AttrGetSync)
(attrSetSync,AttrSetSync)
(bindParamsSync,BindParamsSync)
(bindResultSync,BindResultSync)
(execute,Execute)
(executeSync,ExecuteSync)
(fetchSync,FetchSync)
(fetch,Fetch)
(freeResultSync,FreeResultSync)
(nextResultSync,NextResultSync)
(prepareSync,PrepareSync)
(resetSync,ResetSync)
(resultMetadataSync,ResultMetadataSync)
(sendLongDataSync,SendLongDataSync)
(storeResult,StoreResult)
(setStringSize,SqlStateSync)
(setCharsetSync,SetCharsetSync)
(setOptionSync,SetOptionSync)
(setSslSync,SetSslSync)
(attrSetSync,AttrSetSync)
(connectErrno,ConnectErrnoGetter)
(connectError,ConnectErrorGetter)
(min_length,Integer)
(max_length,Integer)
(number,Integer)
(state,Integer)
(client_version,Integer)
(server_version,Integer)
(proto_info,Integer)
(affectedRows,Integer)
(insertId,Integer)
(fieldCount,FieldCountGetter)
(length,Integer)
(charsetnr,Integer)
(flags,Integer)
(type,Integer)
(decimals,Integer)
(paramCount,ParamCountGetter)
