(dasum,dasum)
(sasum,sasum)
(daxpy,daxpy)
(saxpy,saxpy)
(dcopy,dcopy)
(scopy,scopy)
(ddot,ddot)
(sdot,sdot)
(dsdot,dsdot)
(sdsdot,sdsdot)
(dnrm2,dnrm2)
(snrm2,snrm2)
(drot,drot)
(srot,srot)
(drotg,drotg)
(srotg,srotg)
(drotm,drotm)
(srotm,srotm)
(drotmg,drotmg)
(srotmg,srotmg)
(dscal,dscal)
(sscal,sscal)
(dswap,dswap)
(sswap,sswap)
(idamax,idamax)
(isamax,isamax)
(dgbmv,dgbmv)
(sgbmv,sgbmv)
(dgemv,dgemv)
(sgemv,sgemv)
(dger,dger)
(sger,sger)
(dsbmv,dsbmv)
(ssbmv,ssbmv)
(dspmv,dspmv)
(sspmv,sspmv)
(dspr,dspr)
(sspr,sspr)
(dspr2,dspr2)
(sspr2,sspr2)
(dsymv,dsymv)
(ssymv,ssymv)
(dsyr,dsyr)
(ssyr,ssyr)
(dsyr2,dsyr2)
(ssyr2,ssyr2)
(dtbmv,dtbmv)
(stbmv,stbmv)
(dtbsv,dtbsv)
(stbsv,stbsv)
(dtpmv,dtpmv)
(stpmv,stpmv)
(dtpsv,dtpsv)
(stpsv,stpsv)
(dtrmv,dtrmv)
(strmv,strmv)
(dtrsv,dtrsv)
(strsv,strsv)
(dgemm,dgemm)
(sgemm,sgemm)
(dsymm,dsymm)
(ssymm,ssymm)
(dsyrk,dsyrk)
(ssyrk,ssyrk)
(dsyr2k,dsyr2k)
(ssyr2k,ssyr2k)
(dtrmm,dtrmm)
(strmm,strmm)
(dtrsm,dtrsm)
(strsm,strsm)
(dgesv,dgesv)
(sgesv,sgesv)
(dgesvx,dgesvx)
(sgesvx,sgesvx)
(dgetrf,dgetrf)
(sgetrf,sgetrf)
(duscr_begin,duscr_begin)
(suscr_begin,suscr_begin)
(duscr_block_begin,duscr_block_begin)
(suscr_block_begin,suscr_block_begin)
(duscr_variable_block_begin,duscr_variable_block_begin)
(suscr_variable_block_begin,suscr_variable_block_begin)
(duscr_insert_entry,duscr_insert_entry)
(suscr_insert_entry,suscr_insert_entry)
(duscr_insert_entries,duscr_insert_entries)
(suscr_insert_entries,suscr_insert_entries)
(duscr_insert_col,duscr_insert_col)
(suscr_insert_col,suscr_insert_col)
(duscr_insert_row,duscr_insert_row)
(suscr_insert_row,suscr_insert_row)
(duscr_insert_clique,duscr_insert_clique)
(suscr_insert_clique,suscr_insert_clique)
(duscr_insert_block,duscr_insert_block)
(suscr_insert_block,suscr_insert_block)
(duscr_end,duscr_end)
(suscr_end,suscr_end)
(_usgp,_usgp)
(_ussp,_ussp)
(_usds,_usds)
(dusdot,dusdot)
(susdot,susdot)
(dusaxpy,dusaxpy)
(susaxpy,susaxpy)
(dusga,dusga)
(susga,susga)
(dusgz,dusgz)
(susgz,susgz)
(dussc,dussc)
(sussc,sussc)
(dusmv,dusmv)
(susmv,susmv)
(dussv,dussv)
(sussv,sussv)
(dussm,dussm)
(sussm,sussm)
(dusmm,dusmm)
(susmm,susmm)
(dTrTo,dTrTo)
(sTrTo,sTrTo)
(dTrIp,dTrIp)
(sTrIp,sTrIp)
(BufCopy,BufCopy)
(BufSet,BufSet)
(dMatrixDiagonal,dMatrixDiagonal)
(sMatrixDiagonal,sMatrixDiagonal)
(dMatrixFill,dMatrixFill)
(sMatrixFill,sMatrixFill)
