(isValid,IsValid)
(getProcess,GetProcess)
(getStats,GetStats)
(getRegion,GetRegion)
(getRegions,GetRegions)
(_setAccess,SetAccess)
(find,Find)
(createCache,CreateCache)
(clearCache,ClearCache)
(deleteCache,DeleteCache)
(isCaching,IsCaching)
(getCacheSize,GetCacheSize)
(readData,ReadData)
(writeData,WriteData)
(_readType,ReadType)
(_writeType,WriteType)
(_click,Click)
(_press,Press)
(_release,Release)
(_scrollH,ScrollH)
(_scrollV,ScrollV)
(getPos,GetPos)
(_setPos,SetPos)
(getState,GetState)
(synchronize,Synchronize)
(grabScreen,GrabScreen)
(isCompositing,IsCompositing)
(setCompositing,SetCompositing)
(close,Close)
(isTopMost,IsTopMost)
(isBorderless,IsBorderless)
(isMinimized,IsMinimized)
(isMaximized,IsMaximized)
(setTopMost,SetTopMost)
(setBorderless,SetBorderless)
(setMinimized,SetMinimized)
(setMaximized,SetMaximized)
(getPID,GetPID)
(getHandle,GetHandle)
(setHandle,SetHandle)
(getTitle,GetTitle)
(setTitle,SetTitle)
(getBounds,GetBounds)
(_setBounds,SetBounds)
(getClient,GetClient)
(_setClient,SetClient)
(_mapToClient,MapToClient)
(_mapToScreen,MapToScreen)
(_equals,Equals)
(getList,GetList)
(getActive,GetActive)
(_setActive,SetActive)
(isAxEnabled,IsAxEnabled)
(clear,Clear)
(hasText,HasText)
(getText,GetText)
(setText,SetText)
(hasImage,HasImage)
(getImage,GetImage)
(setImage,SetImage)
(getSequence,GetSequence)
(_create,Create)
(destroy,Destroy)
(load,Load)
(getWidth,GetWidth)
(getHeight,GetHeight)
(getLength,GetLength)
(getData,GetData)
(getLimit,GetLimit)
(_getPixel,GetPixel)
(_setPixel,SetPixel)
(_fill,Fill)
(swap,Swap)
(flip,Flip)
(open,Open)
(is64Bit,Is64Bit)
(isDebugged,IsDebugged)
(getName,GetName)
(getPath,GetPath)
(exit,Exit)
(kill,Kill)
(hasExited,HasExited)
(getModules,GetModules)
(getWindows,GetWindows)
(getCurrent,GetCurrent)
(_isSys64Bit,IsSys64Bit)
(_getSegments,GetSegments)
(compile,Compile)
(prepare,Prepare)
(sleep,Sleep)
(clock,Clock)
