(initialize,initialize)
(release,release)
(setChannelProfile,setChannelProfile)
(joinChannel,joinChannel)
(leaveChannel,leaveChannel)
(enableLocalAudio,enableLocalAudio)
(enableLocalVideo,enableLocalVideo)
(subscribeRemoteVideoStream,subscribeRemoteVideoStream)
(setupVideoCanvas,setupVideoCanvas)
(onVideoFrame,onVideoFrame)
(onEvent,onEvent)
(setClientRole,setClientRole)
(setupSubStreamVideoCanvas,setupSubStreamVideoCanvas)
(subscribeRemoteVideoSubStream,subscribeRemoteVideoSubStream)
(setMixedAudioFrameParameters,setMixedAudioFrameParameters)
(setExternalAudioSource,setExternalAudioSource)
(pushExternalAudioFrame,pushExternalAudioFrame)
(sendSEIMsg,sendSEIMsg)
(sendSEIMsgEx,sendSEIMsgEx)
(setExternalAudioRender,setExternalAudioRender)
(pullExternalAudioFrame,pullExternalAudioFrame)
(setAudioEffectPreset,setAudioEffectPreset)
(setVoiceBeautifierPreset,setVoiceBeautifierPreset)
(setLocalVoicePitch,setLocalVoicePitch)
(setLocalVoiceEqualization,setLocalVoiceEqualization)
(setRemoteHighPriorityAudioStream,setRemoteHighPriorityAudioStream)
(subscribeRemoteAudioSubStream,subscribeRemoteAudioSubStream)
(enableLocalAudioStream,enableLocalAudioStream)
(enableLoopbackRecording,enableLoopbackRecording)
(adjustLoopbackRecordingSignalVolume,adjustLoopbackRecordingSignalVolume)
(adjustUserPlaybackSignalVolume,adjustUserPlaybackSignalVolume)
(getConnectionState,getConnectionState)
(muteLocalAudioStream,muteLocalAudioStream)
(setAudioProfile,setAudioProfile)
(subscribeRemoteAudioStream,subscribeRemoteAudioStream)
(setVideoConfig,setVideoConfig)
(enableDualStreamMode,enableDualStreamMode)
(setLocalVideoMirrorMode,setLocalVideoMirrorMode)
(startVideoPreview,startVideoPreview)
(stopVideoPreview,stopVideoPreview)
(muteLocalVideoStream,muteLocalVideoStream)
(setParameters,setParameters)
(setRecordingAudioFrameParameters,setRecordingAudioFrameParameters)
(setPlaybackAudioFrameParameters,setPlaybackAudioFrameParameters)
(startAudioDump,startAudioDump)
(stopAudioDump,stopAudioDump)
(startAudioMixing,startAudioMixing)
(stopAudioMixing,stopAudioMixing)
(pauseAudioMixing,pauseAudioMixing)
(resumeAudioMixing,resumeAudioMixing)
(setAudioMixingSendVolume,setAudioMixingSendVolume)
(getAudioMixingSendVolume,getAudioMixingSendVolume)
(setAudioMixingPlaybackVolume,setAudioMixingPlaybackVolume)
(getAudioMixingPlaybackVolume,getAudioMixingPlaybackVolume)
(getAudioMixingDuration,getAudioMixingDuration)
(getAudioMixingCurrentPosition,getAudioMixingCurrentPosition)
(setAudioMixingPosition,setAudioMixingPosition)
(playEffect,playEffect)
(stopEffect,stopEffect)
(stopAllEffects,stopAllEffects)
(pauseEffect,pauseEffect)
(resumeEffect,resumeEffect)
(pauseAllEffects,pauseAllEffects)
(resumeAllEffects,resumeAllEffects)
(setEffectSendVolume,setEffectSendVolume)
(getEffectSendVolume,getEffectSendVolume)
(setEffectPlaybackVolume,setEffectPlaybackVolume)
(getEffectPlaybackVolume,getEffectPlaybackVolume)
(enableEarback,enableEarback)
(setEarbackVolume,setEarbackVolume)
(onStatsObserver,onStatsObserver)
(enableAudioVolumeIndication,enableAudioVolumeIndication)
(startScreenCaptureByScreenRect,startScreenCaptureByScreenRect)
(startScreenCaptureByDisplayId,startScreenCaptureByDisplayId)
(startScreenCaptureByWindowId,startScreenCaptureByWindowId)
(updateScreenCaptureRegion,updateScreenCaptureRegion)
(stopScreenCapture,stopScreenCapture)
(pauseScreenCapture,pauseScreenCapture)
(resumeScreenCapture,resumeScreenCapture)
(setExternalVideoSource,setExternalVideoSource)
(pushExternalVideoFrame,pushExternalVideoFrame)
(getVersion,getVersion)
(getErrorDescription,getErrorDescription)
(uploadSdkInfo,uploadSdkInfo)
(addLiveStreamTask,addLiveStreamTask)
(updateLiveStreamTask,updateLiveStreamTask)
(removeLiveStreamTask,removeLiveStreamTask)
(enumerateRecordDevices,enumerateRecordDevices)
(setRecordDevice,setRecordDevice)
(getRecordDevice,getRecordDevice)
(enumeratePlayoutDevices,enumeratePlayoutDevices)
(setPlayoutDevice,setPlayoutDevice)
(getPlayoutDevice,getPlayoutDevice)
(setRecordDeviceVolume,setRecordDeviceVolume)
(getRecordDeviceVolume,getRecordDeviceVolume)
(setPlayoutDeviceVolume,setPlayoutDeviceVolume)
(getPlayoutDeviceVolume,getPlayoutDeviceVolume)
(setPlayoutDeviceMute,setPlayoutDeviceMute)
(getPlayoutDeviceMute,getPlayoutDeviceMute)
(setRecordDeviceMute,setRecordDeviceMute)
(getRecordDeviceMute,getRecordDeviceMute)
(adjustRecordingSignalVolume,adjustRecordingSignalVolume)
(adjustPlaybackSignalVolume,adjustPlaybackSignalVolume)
(startRecordDeviceTest,startRecordDeviceTest)
(stopRecordDeviceTest,stopRecordDeviceTest)
(startPlayoutDeviceTest,startPlayoutDeviceTest)
(stopPlayoutDeviceTest,stopPlayoutDeviceTest)
(startAudioDeviceLoopbackTest,startAudioDeviceLoopbackTest)
(stopAudioDeviceLoopbackTest,stopAudioDeviceLoopbackTest)
(enumerateCaptureDevices,enumerateCaptureDevices)
(setDevice,setDevice)
(getDevice,getDevice)
(enumerateScreenCaptureSourceInfo,enumerateScreenCaptureSourceInfo)
(startSystemAudioLoopbackCapture,startSystemAudioLoopbackCapture)
(stopSystemAudioLoopbackCapture,stopSystemAudioLoopbackCapture)
(setSystemAudioLoopbackCaptureVolume,setSystemAudioLoopbackCaptureVolume)
