(create,Create)
(close,Close)
(createMsgReq,CreateMsgReq)
(onError,OnError)
(onRecv,OnRecv)
(stopRecv,StopRecv)
(sendMsg,Sendmsg)
(addMsg,AddMsgToReq)
(isCreated,IsCreated)
(_open,Open)
(_close,Close)
(_getData,GetData)
(_sendData,SendData)
(InitNativeTun,TunInterface)
(InitNetlinkSocket,NetlinkSocket)
(newTunInterface,NewTunInterface)
(newNetlinkSocket,NewNetlinkSocket)
(assignAddress,AssignAddress)
(assignRoute,AssignRoute)
(initIfFlags,InitIfFlags)
(setIfFlags,SetIfFlags)
(unsetIfFlags,UnsetIfFlags)
(ifNameToIndex,IfNameToIndex)
(ifIndexToName,IfIndexToName)
(toAddress,ToAddress)
(fromAddress,FromAddress)
(errorFromErrno,ErrorFromErrno)
(wrapMemBufferTest,WrapMemBufferTest)
(packTest,PackTest)
