(dgetrf,dgetrf)
(sgetrf,sgetrf)
(dgbtrf,dgbtrf)
(sgbtrf,sgbtrf)
(dgttrf,dgttrf)
(sgttrf,sgttrf)
(dpotrf,dpotrf)
(spotrf,spotrf)
(dpstrf,dpstrf)
(spstrf,spstrf)
(dpftrf,dpftrf)
(spftrf,spftrf)
(dpptrf,dpptrf)
(spptrf,spptrf)
(dpbtrf,dpbtrf)
(spbtrf,spbtrf)
(dpttrf,dpttrf)
(spttrf,spttrf)
(dsytrf,dsytrf)
(ssytrf,ssytrf)
(dsptrf,dsptrf)
(ssptrf,ssptrf)
(dgetrs,dgetrs)
(sgetrs,sgetrs)
(dgbtrs,dgbtrs)
(sgbtrs,sgbtrs)
(dgttrs,dgttrs)
(sgttrs,sgttrs)
(dpotrs,dpotrs)
(spotrs,spotrs)
(dpftrs,dpftrs)
(spftrs,spftrs)
(dpptrs,dpptrs)
(spptrs,spptrs)
(dpbtrs,dpbtrs)
(spbtrs,spbtrs)
(dpttrs,dpttrs)
(spttrs,spttrs)
(dsytrs,dsytrs)
(ssytrs,ssytrs)
(dsptrs,dsptrs)
(ssptrs,ssptrs)
(dtrtrs,dtrtrs)
(strtrs,strtrs)
(dtptrs,dtptrs)
(stptrs,stptrs)
(dtbtrs,dtbtrs)
(stbtrs,stbtrs)
(dgecon,dgecon)
(sgecon,sgecon)
(dgbcon,dgbcon)
(sgbcon,sgbcon)
(dgtcon,dgtcon)
(sgtcon,sgtcon)
(dpocon,dpocon)
(spocon,spocon)
(dppcon,dppcon)
(sppcon,sppcon)
(dpbcon,dpbcon)
(spbcon,spbcon)
(dptcon,dptcon)
(sptcon,sptcon)
(dsycon,dsycon)
(ssycon,ssycon)
(dspcon,dspcon)
(sspcon,sspcon)
(dtrcon,dtrcon)
(strcon,strcon)
(dtpcon,dtpcon)
(stpcon,stpcon)
(dtbcon,dtbcon)
(stbcon,stbcon)
(dgerfs,dgerfs)
(sgerfs,sgerfs)
(dgerfsx,dgerfsx)
(sgerfsx,sgerfsx)
(dgbrfs,dgbrfs)
(sgbrfs,sgbrfs)
(dgbrfsx,dgbrfsx)
(sgbrfsx,sgbrfsx)
(dgtrfs,dgtrfs)
(sgtrfs,sgtrfs)
(dporfs,dporfs)
(sporfs,sporfs)
(dporfsx,dporfsx)
(sporfsx,sporfsx)
(dpprfs,dpprfs)
(spprfs,spprfs)
(dpbrfs,dpbrfs)
(spbrfs,spbrfs)
(dptrfs,dptrfs)
(sptrfs,sptrfs)
(dsyrfs,dsyrfs)
(ssyrfs,ssyrfs)
(dsyrfsx,dsyrfsx)
(ssyrfsx,ssyrfsx)
(dsprfs,dsprfs)
(ssprfs,ssprfs)
(dtrrfs,dtrrfs)
(strrfs,strrfs)
(dtprfs,dtprfs)
(stprfs,stprfs)
(dtbrfs,dtbrfs)
(stbrfs,stbrfs)
(dgetri,dgetri)
(sgetri,sgetri)
(dpotri,dpotri)
(spotri,spotri)
(dpftri,dpftri)
(spftri,spftri)
(dpptri,dpptri)
(spptri,spptri)
(dsytri,dsytri)
(ssytri,ssytri)
(dsptri,dsptri)
(ssptri,ssptri)
(dtrtri,dtrtri)
(strtri,strtri)
(dtftri,dtftri)
(stftri,stftri)
(dtptri,dtptri)
(stptri,stptri)
(dgeequ,dgeequ)
(sgeequ,sgeequ)
(dgeequb,dgeequb)
(sgeequb,sgeequb)
(dgbequ,dgbequ)
(sgbequ,sgbequ)
(dgbequb,dgbequb)
(sgbequb,sgbequb)
(dpoequ,dpoequ)
(spoequ,spoequ)
(dpoequb,dpoequb)
(spoequb,spoequb)
(dppequ,dppequ)
(sppequ,sppequ)
(dpbequ,dpbequ)
(spbequ,spbequ)
(dsyequb,dsyequb)
(ssyequb,ssyequb)
(dgesv,dgesv)
(sgesv,sgesv)
(dgeev,dgeev)
(sgeev,sgeev)
(ilaver,ilaver)
(dlamch,dlamch)
(slamch,slamch)
(dlatms,dlatms)
(slatms,slatms)
