(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(castFrom,CastFrom)
(createEmpty,CreateEmpty)
(createUInt8,CreateUInt8)
(createInt16,CreateInt16)
(createUInt16,CreateUInt16)
(createInt32,CreateInt32)
(createUInt32,CreateUInt32)
(createInt64,CreateInt64)
(createUInt64,CreateUInt64)
(createSingle,CreateSingle)
(createDouble,CreateDouble)
(createChar16,CreateChar16)
(createBoolean,CreateBoolean)
(createString,CreateString)
(createInspectable,CreateInspectable)
(createGuid,CreateGuid)
(createDateTime,CreateDateTime)
(createTimeSpan,CreateTimeSpan)
(createPoint,CreatePoint)
(createSize,CreateSize)
(createRect,CreateRect)
(createUInt8Array,CreateUInt8Array)
(createInt16Array,CreateInt16Array)
(createUInt16Array,CreateUInt16Array)
(createInt32Array,CreateInt32Array)
(createUInt32Array,CreateUInt32Array)
(createInt64Array,CreateInt64Array)
(createUInt64Array,CreateUInt64Array)
(createSingleArray,CreateSingleArray)
(createDoubleArray,CreateDoubleArray)
(createChar16Array,CreateChar16Array)
(createBooleanArray,CreateBooleanArray)
(createStringArray,CreateStringArray)
(createInspectableArray,CreateInspectableArray)
(createGuidArray,CreateGuidArray)
(createDateTimeArray,CreateDateTimeArray)
(createTimeSpanArray,CreateTimeSpanArray)
(createPointArray,CreatePointArray)
(createSizeArray,CreateSizeArray)
(createRectArray,CreateRectArray)
(toString,ToString)
(complete,Complete)
(close,Close)
(cancel,Cancel)
(errorCode,ErrorCodeGetter)
(id,IdGetter)
(status,StatusGetter)
(getResults,GetResults)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(capacity,CapacityGetter)
(createReference,CreateReference)
(getFirstValueByName,GetFirstValueByName)
(name,NameGetter)
(getActivationFactory,GetActivationFactory)
(getUInt8,GetUInt8)
(getInt16,GetInt16)
(getUInt16,GetUInt16)
(getInt32,GetInt32)
(getUInt32,GetUInt32)
(getInt64,GetInt64)
(getUInt64,GetUInt64)
(getSingle,GetSingle)
(getDouble,GetDouble)
(getChar16,GetChar16)
(getBoolean,GetBoolean)
(getString,GetString)
(getGuid,GetGuid)
(getDateTime,GetDateTime)
(getTimeSpan,GetTimeSpan)
(getPoint,GetPoint)
(getSize,GetSize)
(getRect,GetRect)
(getUInt8Array,GetUInt8Array)
(getInt16Array,GetInt16Array)
(getUInt16Array,GetUInt16Array)
(getInt32Array,GetInt32Array)
(getUInt32Array,GetUInt32Array)
(getInt64Array,GetInt64Array)
(getUInt64Array,GetUInt64Array)
(getSingleArray,GetSingleArray)
(getDoubleArray,GetDoubleArray)
(getChar16Array,GetChar16Array)
(getBooleanArray,GetBooleanArray)
(getStringArray,GetStringArray)
(getInspectableArray,GetInspectableArray)
(getGuidArray,GetGuidArray)
(getDateTimeArray,GetDateTimeArray)
(getTimeSpanArray,GetTimeSpanArray)
(getPointArray,GetPointArray)
(getSizeArray,GetSizeArray)
(getRectArray,GetRectArray)
(isNumericScalar,IsNumericScalarGetter)
(type,TypeGetter)
(equals,Equals)
(combineUri,CombineUri)
(absoluteUri,AbsoluteUriGetter)
(displayUri,DisplayUriGetter)
(domain,DomainGetter)
(extension,ExtensionGetter)
(fragment,FragmentGetter)
(host,HostGetter)
(password,PasswordGetter)
(path,PathGetter)
(port,PortGetter)
(query,QueryGetter)
(queryParsed,QueryParsedGetter)
(rawUri,RawUriGetter)
(schemeName,SchemeNameGetter)
(suspicious,SuspiciousGetter)
(userName,UserNameGetter)
(absoluteCanonicalUri,AbsoluteCanonicalUriGetter)
(displayIri,DisplayIriGetter)
(unescapeComponent,UnescapeComponent)
(escapeComponent,EscapeComponent)
(setStateAsync,SetStateAsync)
(kind,KindGetter)
(state,StateGetter)
(getDeviceSelector,GetDeviceSelector)
(getCharacteristics,GetCharacteristics)
(getIncludedServices,GetIncludedServices)
(getAllCharacteristics,GetAllCharacteristics)
(getAllIncludedServices,GetAllIncludedServices)
(requestAccessAsync,RequestAccessAsync)
(openAsync,OpenAsync)
(getCharacteristicsAsync,GetCharacteristicsAsync)
(getCharacteristicsForUuidAsync,GetCharacteristicsForUuidAsync)
(getIncludedServicesAsync,GetIncludedServicesAsync)
(getIncludedServicesForUuidAsync,GetIncludedServicesForUuidAsync)
(attributeHandle,AttributeHandleGetter)
(deviceId,DeviceIdGetter)
(uuid,UuidGetter)
(device,DeviceGetter)
(parentServices,ParentServicesGetter)
(deviceAccessInformation,DeviceAccessInformationGetter)
(session,SessionGetter)
(sharingMode,SharingModeGetter)
(getDeviceSelectorForBluetoothDeviceId,GetDeviceSelectorForBluetoothDeviceId)
