(enableADC,bind_enableADC)
(getADC,bind_getADC)
(enableI2Cdevice,bind_enableI2Cdevice)
(disableI2Cdevice,bind_disableI2Cdevice)
(getGpio,bind_getGpio)
(enableGpio,bind_enableGpio)
(disableGpio,bind_disableGpio)
(setGpioDirection,bind_setGpioDirection)
(getGpioDirection,bind_getGpioDirection)
(setGpioValue,bind_setGpioValue)
(getGpioValue,bind_getGpioValue)
(getHeader,bind_getHeader)
(getPin,bind_getPin)
(enablePwm,bind_enablePwm)
(setPwmPeriod,bind_setPwmPeriod)
(setPwmDuty,bind_setPwmDuty)
(setPwmHz,bind_setPwmHz)
(setPwmPercent,bind_setPwmPercent)
(setPwmPolarity,bind_setPwmPolarity)
(getPwmPeriod ,bind_getPwmPeriod)
(getPwmDuty,bind_getPwmDuty)
(getPwmHz,bind_getPwmHz)
(getPwmPercent,bind_getPwmPercent)
(getPwmPolarity,bind_getPwmPolarity)
(enableSerial,bind_enableSerial)
