(toString,ToString)
(data,GetData)
(diff,GetDiff)
(dataBuffer,GetDataBuffer)
(diffBuffer,GetDiffBuffer)
(enqueue,Enqueue)
(param,GetParam)
(type,GetType)
(blobs,GetBlobs)
(queueLength,GetQueueLength)
(copyTrainedLayersFrom,CopyTrainedLayersFrom)
(forward,Forward)
(forwardSync,ForwardSync)
(backward,Backward)
(backwardSync,BackwardSync)
(snapshot,Snapshot)
(name,GetName)
(phase,GetPhase)
(layer_names,GetLayerNames)
(blob_names,GetBlobNames)
(layers,GetLayers)
(params,GetParams)
(num_inputs,GetNumInputs)
(num_outputs,GetNumOutputs)
(output_blobs,GetOutputBlobs)
(solve,Solve)
(step,Step)
(stepSync,StepSync)
(restore,Restore)
(done,Done)
(iter,GetIter)
(net,GetNet)
(test_nets,GetTestNets)
(gpus,GetGpus)
(deviceQuery,DeviceQuery)
