(serialize,Serialize)
(getHeaderMID,GetHeaderMID)
(getHeaderContentType,GetHeaderContentType)
(setHeaderContentType,SetHeaderContentType)
(getHeaderAccept,GetHeaderAccept)
(setHeaderAccept,SetHeaderAccept)
(getHeaderMaxAge,GetHeaderMaxAge)
(setHeaderMaxAge,SetHeaderMaxAge)
(getHeaderETag,GetHeaderETag)
(setHeaderETag,SetHeaderETag)
(getHeaderIfMatch,GetHeaderIfMatch)
(setHeaderIfMatch,SetHeaderIfMatch)
(getHeaderIfNoneMatch,GetHeaderIfNoneMatch)
(setHeaderIfNoneMatch,SetHeaderIfNoneMatch)
(getHeaderToken,GetHeaderToken)
(setHeaderToken,SetHeaderToken)
(getHeaderProxyUri,GetHeaderProxyUri)
(setHeaderProxyUri,SetHeaderProxyUri)
(getHeaderUriHost,GetHeaderUriHost)
(setHeaderUriHost,SetHeaderUriHost)
(getHeaderUriPath,GetHeaderUriPath)
(setHeaderUriPath,SetHeaderUriPath)
(getHeaderUriQuery,GetHeaderUriQuery)
(setHeaderUriQuery,SetHeaderUriQuery)
(getHeaderLocationPath,GetHeaderLocationPath)
(setHeaderLocationPath,SetHeaderLocationPath)
(getHeaderLocationQuery,GetHeaderLocationQuery)
(setHeaderLocationQuery,SetHeaderLocationQuery)
(getHeaderObserve,GetHeaderObserve)
(setHeaderObserve,SetHeaderObserve)
(getHeaderSize,GetHeaderSize)
(setHeaderSize,SetHeaderSize)
(setPayload,SetPayload)
(getPayload,GetPayload)
(getHeaderStatusCode,GetHeaderStatusCode)
(setHeaderStatusCode,SetHeaderStatusCode)
(getHeaderType,GetHeaderType)
(setHeaderType,SetHeaderType)
