(setNumDimensions,SetNumDimensions)
(getNumDimensions,GetNumDimensions)
(setDatasetName,SetDatasetName)
(setInfoText,SetInfoText)
(addSample,AddSample)
(getNumSamples,GetNumSamples)
(load,Load)
(save,Save)
(clear,Clear)
(train,Train)
(predict,Predict)
(getPredictedClassLabel,GetPredictedClassLabel)
(getMaximumLikelihood,GetMaximumLikelihood)
(quantize,Quantize)
(getFeatureVector,GetFeatureVector)
(setHMMType,SetHMMType)
(setNumStates,SetNumStates)
(setNumSymbols,SetNumSymbols)
(setModelType,SetModelType)
(setMinChange,SetMinChange)
(setMaxNumEpochs,SetMaxNumEpochs)
(setNumRandomTrainingIterations,SetNumRandomTrainingIterations)
(getClassLikelihoods,GetClassLikelihoods)
