(StructFieldSetter,StructFieldSetter)
(ObjectPropertySetter,ObjectPropertySetter)
(status,status)
(getExtents,getExtents)
(numRectangles,numRectangles)
(getRectangle,getRectangle)
(isEmpty,isEmpty)
(containsPoint,containsPoint)
(containsRectangle,containsRectangle)
(equal,equal)
(translate,translate)
(intersect,intersect)
(intersectRectangle,intersectRectangle)
(subtract,subtract)
(subtractRectangle,subtractRectangle)
(union,union_)
(unionRectangle,unionRectangle)
(xor,xor_)
(xorRectangle,xorRectangle)
(copy,copy)
(Region,Region)
(connect,SignalConnect)
(disconnect,SignalDisconnect)
(emit,SignalEmit)
(toString,GObjectToString)
(writeToPng,writeToPng)
(finish,finish)
(flush,flush)
(getDevice,getDevice)
(getFontOptions,getFontOptions)
(getContent,getContent)
(markDirty,markDirty)
(markDirtyRectangle,markDirtyRectangle)
(setDeviceOffset,setDeviceOffset)
(getDeviceOffset,getDeviceOffset)
(getDeviceScale,getDeviceScale)
(setDeviceScale,setDeviceScale)
(setFallbackResolution,setFallbackResolution)
(getFallbackResolution,getFallbackResolution)
(getType,getType)
(getReferenceCount,getReferenceCount)
(copyPage,copyPage)
(showPage,showPage)
(hasShowTextGlyphs,hasShowTextGlyphs)
(supportsMimeType,supportsMimeType)
(mapToImage,mapToImage)
(unmapImage,unmapImage)
(createSimilar,createSimilar)
(createSimilarImage,createSimilarImage)
(createForRectangle,createForRectangle)
(getData,getData)
(getFormat,getFormat)
(getWidth,getWidth)
(getHeight,getHeight)
(getStride,getStride)
(createFromPng,createFromPng)
(inkExtents,inkExtents)
(Surface,Surface)
(ImageSurface,ImageSurface)
(RecordingSurface,RecordingSurface)
(addColorStopRgb,addColorStopRgb)
(addColorStopRgba,addColorStopRgba)
(getColorStopCount,getColorStopCount)
(getColorStopRgba,getColorStopRgba)
(getRgba,getRgba)
(setExtend,setExtend)
(getExtend,getExtend)
(setFilter,setFilter)
(getFilter,getFilter)
(setMatrix,setMatrix)
(getMatrix,getMatrix)
(createRgb,createRgb)
(createRgba,createRgba)
(createRadial,createRadial)
(createMesh,createMesh)
(createLinear,createLinear)
(createForSurface,createForSurface)
(getLinearPoints,getLinearPoints)
(getRadialCircles,getRadialCircles)
(beginPatch,beginPatch)
(endPatch,endPatch)
(moveTo,moveTo)
(lineTo,lineTo)
(curveTo,curveTo)
(setControlPoint,setControlPoint)
(setCornerColorRgb,setCornerColorRgb)
(setCornerColorRgba,setCornerColorRgba)
(getPatchCount,getPatchCount)
(getPath,getPath)
(getControlPoint,getControlPoint)
(getCornerColorRgba,getCornerColorRgba)
(Pattern,Pattern)
(LinearPattern,LinearPattern)
(RadialPattern,RadialPattern)
(MeshPattern,MeshPattern)
(scale,scale)
(rotate,rotate)
(invert,invert)
(transformDistance,transformDistance)
(transformPoint,transformPoint)
(initIdentity,initIdentity)
(initTranslate,initTranslate)
(initScale,initScale)
(initRotate,initRotate)
(multiply,multiply)
(Matrix,Matrix)
(merge,merge)
(hash,hash)
(setAntialias,setAntialias)
(getAntialias,getAntialias)
(setSubpixelOrder,setSubpixelOrder)
(getSubpixelOrder,getSubpixelOrder)
(setHintStyle,setHintStyle)
(getHintStyle,getHintStyle)
(setHintMetrics,setHintMetrics)
(getHintMetrics,getHintMetrics)
(FontOptions,FontOptions)
(create,create)
(createForFtFace,createForFtFace)
(createForPattern,createForPattern)
(getFamily,getFamily)
(getSlant,getSlant)
(getWeight,getWeight)
(getSynthesize,getSynthesize)
(setSynthesize,setSynthesize)
(unsetSynthesize,unsetSynthesize)
(FontFace,FontFace)
(ToyFontFace,ToyFontFace)
(FtFontFace,FtFontFace)
(Win32FontFace,Win32FontFace)
(QuartzFontFace,QuartzFontFace)
(save,save)
(restore,restore)
(getTarget,getTarget)
(pushGroup,pushGroup)
(pushGroupWithContent,pushGroupWithContent)
(popGroup,popGroup)
(popGroupToSource,popGroupToSource)
(getGroupTarget,getGroupTarget)
(setSourceRgb,setSourceRgb)
(setSourceRgba,setSourceRgba)
(setSource,setSource)
(setSourceSurface,setSourceSurface)
(getSource,getSource)
(getDashCount,getDashCount)
(getDash,getDash)
(setFillRule,setFillRule)
(getFillRule,getFillRule)
(setLineCap,setLineCap)
(getLineCap,getLineCap)
(setLineJoin,setLineJoin)
(getLineJoin,getLineJoin)
(setLineWidth,setLineWidth)
(getLineWidth,getLineWidth)
(setMiterLimit,setMiterLimit)
(getMiterLimit,getMiterLimit)
(setOperator,setOperator)
(getOperator,getOperator)
(setTolerance,setTolerance)
(getTolerance,getTolerance)
(clip,clip)
(clipPreserve,clipPreserve)
(clipExtents,clipExtents)
(inClip,inClip)
(resetClip,resetClip)
(copyClipRectangleList,copyClipRectangleList)
(fill,fill)
(fillPreserve,fillPreserve)
(fillExtents,fillExtents)
(inFill,inFill)
(mask,mask)
(maskSurface,maskSurface)
(paint,paint)
(paintWithAlpha,paintWithAlpha)
(stroke,stroke)
(strokePreserve,strokePreserve)
(strokeExtents,strokeExtents)
(inStroke,inStroke)
(copyPath,copyPath)
(copyPathFlat,copyPathFlat)
(appendPath,appendPath)
(hasCurrentPoint,hasCurrentPoint)
(getCurrentPoint,getCurrentPoint)
(newPath,newPath)
(newSubPath,newSubPath)
(closePath,closePath)
(arc,arc)
(arcNegative,arcNegative)
(rectangle,rectangle)
(glyphPath,glyphPath)
(textPath,textPath)
(relCurveTo,relCurveTo)
(relLineTo,relLineTo)
(relMoveTo,relMoveTo)
(pathExtents,pathExtents)
(showText,showText)
(showGlyphs,showGlyphs)
(showTextGlyphs,showTextGlyphs)
(fontExtents,fontExtents)
(textExtents,textExtents)
(glyphExtents,glyphExtents)
(selectFontFace,selectFontFace)
(setFontSize,setFontSize)
(setFontMatrix,setFontMatrix)
(getFontMatrix,getFontMatrix)
(setFontOptions,setFontOptions)
(setFontFace,setFontFace)
(getFontFace,getFontFace)
(setScaledFont,setScaledFont)
(getScaledFont,getScaledFont)
(transform,transform)
(identityMatrix,identityMatrix)
(userToDevice,userToDevice)
(userToDeviceDistance,userToDeviceDistance)
(deviceToUser,deviceToUser)
(deviceToUserDistance,deviceToUserDistance)
(extents,extents)
(textToGlyphs,textToGlyphs)
(getCtm,getCtm)
(getScaleMatrix,getScaleMatrix)
(ScaledFont,ScaledFont)
(init,Init)
(Bootstrap,Bootstrap)
(GetModuleCache,GetModuleCache)
(GetBaseClass,GetBaseClass)
(GetTypeSize,GetTypeSize)
(GetConstantValue,GetConstantValue)
(MakeBoxedClass,MakeBoxedClass)
(MakeObjectClass,MakeObjectClass)
(MakeFunction,MakeFunction)
(StructFieldGetter,StructFieldGetter)
(ObjectPropertyGetter,ObjectPropertyGetter)
(StartLoop,StartLoop)
(GetLoopStack,GetLoopStack)
(RegisterClass,RegisterClass)
(RegisterVFunc,RegisterVFunc)
(addressOf,AddressOf)
(refCount,RefCount)
(internalFieldCount,InternalFieldCount)
(getSize,GetSize)
(getMemoryContent,GetMemoryContent)
(breakpoint,Breakpoint)
(convertGValue,ConvertGValue)
