(getChipName,getChipName)
(getChipLabel,getChipLabel)
(getNumberOfLines,getNumberOfLines)
(getLineNames,getLineNames)
(getLineOffset,getLineOffset)
(getLineName,getLineName)
(getLineConsumer,getLineConsumer)
(getLineDirection,getLineDirection)
(getLineActiveState,getLineActiveState)
(getLineBias,getLineBias)
(isLineUsed,isLineUsed)
(isLineOpenDrain,isLineOpenDrain)
(isLineOpenSource,isLineOpenSource)
(update,update)
(needsUpdate,needsUpdate)
(getValue,getValue)
(setValue,setValue)
(lineRequest,lineRequest)
(requestInputMode,requestInputMode)
(requestOutputMode,requestOutputMode)
(requestRisingEdgeEvents,requestRisingEdgeEvents)
(requestFallingEdgeEvents,requestFallingEdgeEvents)
(requestBothEdgesEvents,requestBothEdgesEvents)
(requestInputModeFlags,requestInputModeFlags)
(requestOutputModeFlags,requestOutputModeFlags)
(requestRisingEdgeEventFlags,requestRisingEdgeEventFlags)
(requestFallingEdgeEventFlags,requestFallingEdgeEventFlags)
(requestBothEdgesEventFlags,requestBothEdgesEventFlags)
(release,release)
(version,version)
(getInstantLineValue,getInstantLineValue)
(setInstantLineValue,setInstantLineValue)
