(secretbox_contextbytes_size,_hydro_secretbox_CONTEXTBYTES)
(secretbox_headerbytes_size,_hydro_secretbox_HEADERBYTES)
(secretbox_keybytes_size,_hydro_secretbox_KEYBYTES)
(secretbox_probebytes_size,_hydro_secretbox_PROBEBYTES)
(init,_hydro_init)
(random_u32,_hydro_random_u32)
(random_uniform,_hydro_random_uniform)
(secretbox_keygen,_hydro_secretbox_keygen)
(secretbox_encrypt,_hydro_secretbox_encrypt)
(secretbox_decrypt,_hydro_secretbox_decrypt)
(secretbox_probe_create,_hydro_secretbox_probe_create)
(secretbox_probe_verify,_hydro_secretbox_probe_verify)
