(debug,debug)
(_test,_test)
(clientApiVersion,client_api_version)
(errorString,error_string)
(create,create)
(initialize,initialize)
(detachDestroy,detach_destroy)
(terminateDestroy,terminate_destroy)
(createClient,create_client)
(loadConfigFile,load_config_file)
(suspend,suspend)
(resume,resume)
(getTimeUs,get_time_us)
(setOption,set_option)
(setOptionString,set_option_string)
(command,command)
(commandNode,command_node)
(commandString,command_string)
(commandAsync,command_async)
(commandNodeAsync,command_node_async)
(setProperty,set_property)
(setPropertyString,set_property_string)
(setPropertyAsync,set_property_async)
(getProperty,get_property)
(getPropertyString,get_property_string)
(getPropertyOsdString,get_property_osd_string)
(getPropertyAsync,get_property_async)
(observeProperty,observe_property)
(unobserveProperty,unobserve_property)
(eventName,event_name)
(requestEvent,request_event)
(requestLogMessages,request_log_messages)
(waitEvent,wait_event)
(wakeup,wakeup)
(getWakeupPipe,get_wakeup_pipe)
(waitAsyncRequests,wait_async_requests)
(data,evd)
(format,fmt)
(mpvLogLevel,logl)
(reason,re)
(args,jsar)
(type,fmt)
