(get_languages,get_languages)
(get_language,get_language)
(name,name)
(get_layouts,get_layouts)
(get_layout,get_layout)
(set_layout,set_layout)
(can_suspend,can_suspend)
(can_hibernate,can_hibernate)
(can_restart,can_restart)
(can_shutdown,can_shutdown)
(suspend,suspend)
(hibernate,hibernate)
(restart,restart)
(shutdown,shutdown)
(get_hostname,get_hostname)
(authenticate,authenticate)
(cancel_authentication,cancel_authentication)
(respond,respond)
(start_session_sync,start_session_sync)
(set_language,set_language)
(get_sessions,get_sessions)
(get_remote_sessions,get_remote_sessions)
(get_users,get_users)
