(hecSetState,SmallInt)
(msgInitiator,MsgInitiator)
(msgDestination,MsgDestination)
(msgOpcode,MsgOpcode)
(msgIsBroadcast,MsgIsBroadcast)
(msgInit,MsgInit)
(msgSetReplyTo,MsgSetReplyTo)
(msgStatusIsOk,MsgStatusIsOk)
(hasTv,HasTv)
(hasRecord,HasRecord)
(hasTuner,HasTuner)
(hasPlayback,HasPlayback)
(hasAudiosystem,HasAudiosystem)
(hasBackup,HasBackup)
(hasSpecific,HasSpecific)
(isUnregistered,IsUnregistered)
(isUnconfigured,IsUnconfigured)
(is2ndTv,Is2ndTv)
(isProcessor,IsProcessor)
(isSwitch,IsSwitch)
(isCdcOnly,IsCdcOnly)
(msgActiveSource,MsgActiveSource)
(opsActiveSource,OpsActiveSource)
(msgImageViewOn,MsgImageViewOn)
(msgTextViewOn,MsgTextViewOn)
(msgInactiveSource,MsgInactiveSource)
(opsInactiveSource,OpsInactiveSource)
(msgRequestActiveSource,MsgRequestActiveSource)
(msgRoutingInformation,MsgRoutingInformation)
(opsRoutingInformation,OpsRoutingInformation)
(msgRoutingChange,MsgRoutingChange)
(opsRoutingChange,OpsRoutingChange)
(msgSetStreamPath,MsgSetStreamPath)
(opsSetStreamPath,OpsSetStreamPath)
(msgStandby,MsgStandby)
(msgRecordOff,MsgRecordOff)
(setDigitalServiceId,SetDigitalServiceId)
(getDigitalServiceId,GetDigitalServiceId)
(msgRecordOnOwn,MsgRecordOnOwn)
(msgRecordOnDigital,MsgRecordOnDigital)
(msgRecordOnAnalog,MsgRecordOnAnalog)
(msgRecordOnPlug,MsgRecordOnPlug)
(msgRecordOnPhysAddr,MsgRecordOnPhysAddr)
(msgRecordOn,MsgRecordOn)
(opsRecordOn,OpsRecordOn)
(msgRecordStatus,MsgRecordStatus)
(opsRecordStatus,OpsRecordStatus)
(msgRecordTvScreen,MsgRecordTvScreen)
(msgTimerStatus,MsgTimerStatus)
(opsTimerStatus,OpsTimerStatus)
(msgTimerClearedStatus,MsgTimerClearedStatus)
(opsTimerClearedStatus,OpsTimerClearedStatus)
