(createKeyset,CreateKeyset)
(createAgent,CreateAgent)
(createTrie,CreateTrie)
(push_back,KeysetWrap)
(pushBack,KeysetWrap)
(num_keys,KeysetWrap)
(numKeys,KeysetWrap)
(empty,KeysetWrap)
(size,KeysetWrap)
(total_length,KeysetWrap)
(totalLength,KeysetWrap)
(reset,KeysetWrap)
(clear,KeysetWrap)
(swap,KeysetWrap)
(query,AgentWrap)
(key,AgentWrap)
(set_query,AgentWrap)
(setQuery,AgentWrap)
(ptr,QueryWrap)
(length,QueryWrap)
(id,QueryWrap)
(ptr,KeyWrap)
(length,KeyWrap)
(id,KeyWrap)
(build,TrieWrap)
(mmap,TrieWrap)
(map,TrieWrap)
(load,TrieWrap)
(save,TrieWrap)
(lookup,TrieWrap)
(reverse_lookup,TrieWrap)
(reverseLookup,TrieWrap)
(common_prefix_search,TrieWrap)
(commonPrefixSearch,TrieWrap)
(predictive_search,TrieWrap)
(predictiveSearch,TrieWrap)
(num_tries,TrieWrap)
(numTries,TrieWrap)
(num_keys,TrieWrap)
(numKeys,TrieWrap)
(num_nodes,TrieWrap)
(numNodes,TrieWrap)
(empty,TrieWrap)
(size,TrieWrap)
(io_size,TrieWrap)
(ioSize,TrieWrap)
(clear,TrieWrap)
(swap,TrieWrap)
