(getEdges,getEdges)
(getVertices,getVertices)
(getFaces,getFaces)
(getOuterShell,getOuterShell)
(getShells,getShells)
(getSolids,getSolids)
(getShapeName,getShapeName)
(getAdjacentFaces,getAdjacentFaces)
(getCommonEdges,getCommonEdges)
(createMesh,createMesh)
(clone,clone)
(translate,translate)
(rotate,rotate)
(mirror,mirror)
(transformed,transformed)
(applyTransform,applyTransform)
(getBoundingBox,getBoundingBox)
(makePlaneMirror,Transformation)
(makeLine,Edge)
(makeCircle,Edge)
(makeArc3P,Edge)
(writeSTL,writeSTL)
(writeSTEP,writeSTEP)
(writeBREP,writeBREP)
(readSTEP,readSTEP)
(readBREP,readBREP)
(gc,ForceGC)
(next,next)
(reset,reset)
(addPoint,addPoint)
(isOut,isOut)
(polygonize,polygonize)
(getWires,getWires)
(getEdgeIndices,getEdgeIndices)
(getFaceTriangles,getFaceTriangles)
(getFaceTriangleNormals,getFaceTriangleNormals)
(equals,equals)
(asArray,asArray)
(makeRotation,makeRotation)
(makeTranslation,makeTranslation)
(makePlaneMirror,makePlaneMirror)
(makeAxisMirror,makeAxisMirror)
(makeScale,makeScale)
