(createCommandQueue,CreateCommandQueue)
(retainCommandQueue,RetainCommandQueue)
(releaseCommandQueue,ReleaseCommandQueue)
(getCommandQueueInfo,GetCommandQueueInfo)
(flush,Flush)
(finish,Finish)
(enqueueReadBuffer,EnqueueReadBuffer)
(enqueueReadBufferRect,EnqueueReadBufferRect)
(enqueueWriteBuffer,EnqueueWriteBuffer)
(enqueueWriteBufferRect,EnqueueWriteBufferRect)
(enqueueCopyBuffer,EnqueueCopyBuffer)
(enqueueCopyBufferRect,EnqueueCopyBufferRect)
(enqueueReadImage,EnqueueReadImage)
(enqueueWriteImage,EnqueueWriteImage)
(enqueueCopyImage,EnqueueCopyImage)
(enqueueCopyImageToBuffer,EnqueueCopyImageToBuffer)
(enqueueCopyBufferToImage,EnqueueCopyBufferToImage)
(enqueueMapBuffer,EnqueueMapBuffer)
(enqueueMapImage,EnqueueMapImage)
(enqueueUnmapMemObject,EnqueueUnmapMemObject)
(enqueueNDRangeKernel,EnqueueNDRangeKernel)
(enqueueTask,EnqueueTask)
(enqueueNativeKernel,EnqueueNativeKernel)
(createBuffer,CreateBuffer)
(createSubBuffer,CreateSubBuffer)
(retainMemObject,RetainMemObject)
(releaseMemObject,ReleaseMemObject)
(getSupportedImageFormats,GetSupportedImageFormats)
(getMemObjectInfo,GetMemObjectInfo)
(getImageInfo,GetImageInfo)
(createProgramWithSource,CreateProgramWithSource)
(createProgramWithBinary,CreateProgramWithBinary)
(retainProgram,RetainProgram)
(releaseProgram,ReleaseProgram)
(buildProgram,BuildProgram)
(unloadCompiler,UnloadPlatformCompiler)
(getProgramInfo,GetProgramInfo)
(getProgramBuildInfo,GetProgramBuildInfo)
(createKernel,CreateKernel)
(createKernelsInProgram,CreateKernelsInProgram)
(retainKernel,RetainKernel)
(releaseKernel,ReleaseKernel)
(setKernelArg,SetKernelArg)
(getKernelInfo,GetKernelInfo)
(getKernelWorkGroupInfo,GetKernelWorkGroupInfo)
(retainSampler,RetainSampler)
(releaseSampler,ReleaseSampler)
(getSamplerInfo,GetSamplerInfo)
(createSampler,CreateSampler)
(waitForEvents,WaitForEvents)
(getEventInfo,GetEventInfo)
(createUserEvent,CreateUserEvent)
(retainEvent,RetainEvent)
(releaseEvent,ReleaseEvent)
(setUserEventStatus,SetUserEventStatus)
(setEventCallback,SetEventCallback)
(getEventProfilingInfo,GetEventProfilingInfo)
(releaseAll,releaseAll)
(createContext,CreateContext)
(createContextFromType,CreateContextFromType)
(retainContext,RetainContext)
(releaseContext,ReleaseContext)
(getContextInfo,GetContextInfo)
(getDeviceIDs,GetDeviceIDs)
(getDeviceInfo,GetDeviceInfo)
(getPlatformIDs,GetPlatformIDs)
(getPlatformInfo,GetPlatformInfo)
(channel_order,image_formats)
(channel_data_type,image_formats)
(0,param_value)
(1,param_value)
