(native_flush_cache,FlushCache)
(native_flush_cache_sync,FlushCacheSync)
(native_lib_feature,LibFeature)
(native_chunk,Chunk)
(native_chunk_sync,ChunkSync)
(native_chunk_end,ChunkEnd)
(native_chunk_end_sync,ChunkEndSync)
(native_header,Header)
(native_header_sync,HeaderSync)
(native_eoh,EOH)
(native_eoh_sync,EOHSync)
(native_body,Body)
(native_body_sync,BodySync)
(native_eom,EOM)
(native_eom_sync,EOMSync)
(native_sign,Sign)
(native_sign_sync,SignSync)
(native_get_signature,GetSignature)
(native_ohdrs,OHDRS)
(native_sig_getcanonlen,SigGetCanonlen)
(native_sig_getdomain,SigGetDomain)
(native_sig_geterror,SigGetError)
(native_sig_geterrorstr,SigGetErrorStr)
(native_sig_getidentity,SigGetIdentity)
(native_sig_getselector,SigGetSelector)
(native_verify,Verify)
(native_verify_sync,VerifySync)
(native_get_option,GetOption)
(native_set_option,SetOption)
