(WaitGetPoses,WaitGetPoses)
(Submit,Submit)
(0,value)
(1,value)
(GetRecommendedRenderTargetSize,GetRecommendedRenderTargetSize)
(GetProjectionMatrix,GetProjectionMatrix)
(GetProjectionRaw,GetProjectionRaw)
(ComputeDistortion,ComputeDistortion)
(GetEyeToHeadTransform,GetEyeToHeadTransform)
(GetTimeSinceLastVsync,GetTimeSinceLastVsync)
(GetD3D9AdapterIndex,GetD3D9AdapterIndex)
(GetDXGIOutputInfo,GetDXGIOutputInfo)
(IsDisplayOnDesktop,IsDisplayOnDesktop)
(SetDisplayVisibility,SetDisplayVisibility)
(GetDeviceToAbsoluteTrackingPose,GetDeviceToAbsoluteTrackingPose)
(ResetSeatedZeroPose,ResetSeatedZeroPose)
(GetSeatedZeroPoseToStandingAbsoluteTrackingPose,GetSeatedZeroPoseToStandingAbsoluteTrackingPose)
(GetRawZeroPoseToStandingAbsoluteTrackingPose,GetRawZeroPoseToStandingAbsoluteTrackingPose)
(GetSortedTrackedDeviceIndicesOfClass,GetSortedTrackedDeviceIndicesOfClass)
(GetTrackedDeviceActivityLevel,GetTrackedDeviceActivityLevel)
(ApplyTransform,ApplyTransform)
(GetTrackedDeviceClass,GetTrackedDeviceClass)
(GetControllerState,GetControllerState)
(CaptureInputFocus,CaptureInputFocus)
(ReleaseInputFocus,ReleaseInputFocus)
(IsInputFocusCapturedByAnotherProcess,IsInputFocusCapturedByAnotherProcess)
(AcknowledgeQuit_Exiting,AcknowledgeQuit_Exiting)
(AcknowledgeQuit_UserPrompt,AcknowledgeQuit_UserPrompt)
(VR_Init,VR_Init)
(VR_Shutdown,VR_Shutdown)
(VR_IsHmdPresent,VR_IsHmdPresent)
(VR_IsRuntimeInstalled,VR_IsRuntimeInstalled)
(VR_RuntimePath,VR_RuntimePath)
(VR_GetVRInitErrorAsSymbol,VR_GetVRInitErrorAsSymbol)
(VR_GetVRInitErrorAsEnglishDescription,VR_GetVRInitErrorAsEnglishDescription)
(VR_GetInitToken,VR_GetInitToken)
(NewCompositor,NewCompositor)
(0,Number)
(4,Number)
(1,Number)
(2,Number)
(3,Number)
(5,Number)
(6,Number)
(7,Number)
(8,Number)
(9,Number)
(10,Number)
(11,Number)
(12,Number)
(code,Number)
