(ParseFile,ParseFile)
(QuickEncryptedCheck,QuickEncryptedCheck)
(GetNumberOfIncrementalUpdates,GetNumberOfIncrementalUpdates)
(GetPdfVersionString,GetPdfVersionString)
(GetAuthor,GetAuthor)
(GetCreator,GetCreator)
(GetKeywords,GetKeywords)
(GetSubject,GetSubject)
(GetTitle,GetTitle)
(GetProducer,GetProducer)
(GetTrapped,GetTrapped)
(GetSize,GetSize)
(GetObjectCount,GetObjectCount)
(ToArray,ToArray)
(ReadNext,ReadNext)
(Load,Load)
(GetObjects,GetObjects)
(GetInfo,GetInfo)
(GetPageCount,GetPageCount)
(GetPage,GetPage)
(GetPdfVersion,GetPdfVersion)
(GetError,GetError)
(IsError,IsError)
(what,what)
(GetPageNumber,GetPageNumber)
(GetContents,GetContents)
(GetResources,GetContents)
(GetObject,GetObject)
(IsEmpty,IsEmpty)
(Clear,Clear)
(GetDataType,GetDataType)
(GetDataTypeString,GetDataTypeString)
(IsBool,IsBool)
(IsNumber,IsNumber)
(IsReal,IsReal)
(IsString,IsString)
(IsHexString,IsHexString)
(IsName,IsName)
(IsArray,IsArray)
(IsDictionary,IsDictionary)
(IsRawData,IsRawData)
(IsNull,IsNull)
(IsReference,IsReference)
(SetBool,SetBool)
(GetBool,GetBool)
(SetNumber,SetNumber)
(GetNumber,GetNumber)
(SetReal,SetReal)
(GetReal,GetReal)
(GetString,GetString)
(GetName,GetName)
(GetArray,GetArray)
(GetDictionary,GetDictionary)
(GetRawData,GetRawData)
(IsDirty,IsDirty)
(SetImmutable,SetImmutable)
(GetImmutable,GetImmutable)
