(init,InitPRU)
(loadDatafile,loadDatafile)
(execute,executeProgram)
(getSharedRAMOffset,getSharedRAMOffset)
(setSharedRAMOffset,setSharedRAMOffset)
(getSharedRAM,getSharedRAM)
(setSharedRAM,setSharedRAM)
(getSharedRAMInt,getSharedRAMInt)
(getDataRAMInt,getDataRAMInt)
(getSharedRAMByte,getSharedRAMByte)
(getDataRAMByte,getDataRAMByte)
(setSharedRAMInt,setSharedRAMInt)
(setDataRAMInt,setDataRAMInt)
(setSharedRAMByte,setSharedRAMByte)
(setDataRAMByte,setDataRAMByte)
(waitForInterrupt,waitForInterrupt)
(clearInterrupt,clearInterrupt)
(interrupt,interruptPRU)
(exit,forceExit)
