(resize,Resize)
(show,Show)
(close,Close)
(size,Size)
(width,Width)
(height,Height)
(parent,Parent)
(objectName,ObjectName)
(setObjectName,SetObjectName)
(update,Update)
(hasMouseTracking,HasMouseTracking)
(setMouseTracking,SetMouseTracking)
(setFocusPolicy,SetFocusPolicy)
(move,Move)
(x,X)
(y,Y)
(paintEvent,PaintEvent)
(mousePressEvent,MousePressEvent)
(mouseReleaseEvent,MouseReleaseEvent)
(mouseMoveEvent,MouseMoveEvent)
(keyPressEvent,KeyPressEvent)
(keyReleaseEvent,KeyReleaseEvent)
(red,Red)
(green,Green)
(blue,Blue)
(alpha,Alpha)
(name,Name)
(button,Button)
(m11,M11)
(m12,M12)
(m21,M21)
(m22,M22)
(dx,Dx)
(dy,Dy)
(translate,Translate)
(scale,Scale)
(play,Play)
(fileName,FileName)
(setLoops,SetLoops)
(processEvents,ProcessEvents)
(exec,Exec)
(key,Key)
(text,Text)
(begin,Begin)
(end,End)
(isActive,IsActive)
(save,Save)
(restore,Restore)
(setPen,SetPen)
(setFont,SetFont)
(setMatrix,SetMatrix)
(fillRect,FillRect)
(drawText,DrawText)
(drawPixmap,DrawPixmap)
(drawImage,DrawImage)
(strokePath,StrokePath)
(addMouseClick,AddMouseClick)
(addKeyPress,AddKeyPress)
(simulate,Simulate)
(isNull,IsNull)
(setFamily,SetFamily)
(family,Family)
(setPixelSize,SetPixelSize)
(pixelSize,PixelSize)
(setPointSize,SetPointSize)
(pointSize,PointSize)
(setPointSizeF,SetPointSizeF)
(pointSizeF,PointSizeF)
(value,Value)
(setValue,SetValue)
(setWidget,SetWidget)
(widget,Widget)
(setFrameShape,SetFrameShape)
(setVerticalScrollBarPolicy,SetVerticalScrollBarPolicy)
(setHorizontalScrollBarPolicy,SetHorizontalScrollBarPolicy)
(verticalScrollBar,VerticalScrollBar)
(horizontalScrollBar,HorizontalScrollBar)
(fill,Fill)
(example,Example)
(moveTo,MoveTo)
(lineTo,LineTo)
(currentPosition,CurrentPosition)
(closeSubpath,CloseSubpath)
