(name,GetName)
(title,GetTitle)
(descr,GetDesc)
(type,GetType)
(unit,GetUnit)
(size,GetSize)
(cap,GetCap)
(constraintType,GetConstraintType)
(init,Init)
(exit,Exit)
(getDevices,GetDevices)
(getDevicesSync,GetDevicesSync)
(open,Open)
(openSync,OpenSync)
(close,Close)
(closeSync,CloseSync)
(getOptionDescriptor,GetOptionDescriptor)
(controlOption,ControlOption)
(optionIsActive,OptionIsActive)
(optionIsSettable,OptionIsSettable)
(getParameters,GetParameters)
(start,Start)
(read,Read)
(readSync,ReadSync)
(cancel,Cancel)
(cancelSync,CancelSync)
(fixedToNumber,FixedToNumber)
(numberToFixed,NumberToFixed)
(vendor,GetVendor)
(model,GetModel)
