(getLength,GetLength)
(getSeparator,GetSeparator)
(setSeparator,SetSeparator)
(getValue,GetValue)
(setValue,SetValue)
(getR,GetR)
(getG,GetG)
(getB,GetB)
(getA,GetA)
(setR,SetR)
(setG,SetG)
(setB,SetB)
(setA,SetA)
(success,ReturnCallback)
(getUnit,GetUnit)
(setUnit,SetUnit)
(Number,Number)
(String,String)
(Color,Color)
(Boolean,Boolean)
(List,List)
(Map,Map)
(Null,Null)
(Error,Error)
(getKey,GetKey)
(setKey,SetKey)
(render,render)
(renderSync,render_sync)
(renderFile,render_file)
(renderFileSync,render_file_sync)
(libsassVersion,libsass_version)
