(sixenseInit,sixenseInit)
(sixenseExit,sixenseExit)
(sixenseGetMaxBases,sixenseGetMaxBases)
(sixenseSetActiveBase,sixenseSetActiveBase)
(sixenseIsBaseConnected,sixenseIsBaseConnected)
(sixenseGetMaxControllers,sixenseGetMaxControllers)
(sixenseGetNumActiveControllers,sixenseGetNumActiveControllers)
(sixenseIsControllerEnabled,sixenseIsControllerEnabled)
(sixenseGetAllNewestData,sixenseGetAllNewestData)
(sixenseGetAllNewestDataAsync,sixenseGetAllNewestDataAsync)
(sixenseGetAllNewestDataAsyncStop,sixenseGetAllNewestDataAsyncStop)
(sixenseGetAllData,sixenseGetAllData)
(sixenseGetNewestData,sixenseGetNewestData)
(sixenseGetHistorySize,sixenseGetHistorySize)
(sixenseSetFilterEnabled,sixenseSetFilterEnabled)
(sixenseGetFilterEnabled,sixenseGetFilterEnabled)
(sixenseSetFilterParams,sixenseSetFilterParams)
(sixenseGetFilterParams,sixenseGetFilterParams)
(sixenseTriggerVibration,sixenseTriggerVibration)
(sixenseSetHighPriorityBindingEnabled,sixenseSetHighPriorityBindingEnabled)
(sixenseGetHighPriorityBindingEnabled,sixenseGetHighPriorityBindingEnabled)
(sixenseSetBaseColor,sixenseSetBaseColor)
(sixenseGetBaseColor,sixenseGetBaseColor)
