(init,init)
(configInit,configInit)
(configMap,configMap)
(configDC,configDC)
(sendProcessdata,sendProcessdata)
(receiveProcessdata,receiveProcessdata)
(writeState,writeState)
(readState,readState)
(statecheck,statecheck)
(getSlaves,getSlaves)
(getInterfaceName,getInterfaceName)
(getMap,getMap)
(getExpectedWC,getExpectedWC)
(state,Number)
(ALStatusocde,Number)
(configadr,Number)
(aliasadr,Number)
(Obits,Uint32)
(Obytes,Uint32)
(outputs,ArrayBuffer)
(Ibits,Uint32)
(Ibytes,Uint32)
(inputs,ArrayBuffer)
(pdelay,Uint32)
