(close,SwitcherClose)
(set_nickname,SetNickname)
(get_nickname,GetNickname)
(reset_command_history,ResetCommandHistory)
(save_history,SaveHistory)
(load_history_from_current_state,LoadHistoryFromCurrentState)
(load_history_from_scratch,LoadHistoryFromScratch)
(reset_history,ResetHistory)
(load_defaults,LoadDefaults)
(load_bundles,LoadBundles)
(create,Create)
(remove,Remove)
(has_quiddity,HasQuiddity)
(get_classes_doc,GetClassesDoc)
(get_class_doc,GetClassDoc)
(get_quiddity_description,GetQuiddityDescription)
(get_quiddities_description,GetQuidditiesDescription)
(get_info,GetInfo)
(get_user_data,GetUserData)
(set_user_data,SetUserData)
(set_user_data_branch,SetUserDataBranch)
(remove_user_data,RemoveUserData)
(get_shmdata_path,GetShmdataPath)
(set_property_value,SetProperty)
(get_property_value,GetProperty)
(get_methods_description,GetMethodsDescription)
(get_method_description,GetMethodDescription)
(get_methods_description_by_class,GetMethodsDescriptionByClass)
(get_method_description_by_class,GetMethodDescriptionByClass)
(invoke,Invoke)
(register_prop_callback,RegisterPropCallback)
(subscribe_to_property,SubscribeToProperty)
(unsubscribe_from_property,UnsubscribeFromProperty)
(register_signal_callback,RegisterSignalCallback)
(subscribe_to_signal,SubscribeToSignal)
(set_nickname,SetNickname)
(set_user_data,SetUserData)
(set_user_data_branch,SetUserDataBranch)
(set_property_value,SetProperty)
