(get_type,get_type)
(get_begin,experiment_get_begin)
(set_begin,experiment_set_begin)
(get_duration,experiment_get_duration)
(set_duration,experiment_set_duration)
(get_seed,experiment_get_seed)
(set_seed,experiment_set_seed)
(run,run)
(run_manager,run_manager)
(run_manager_thread,run_manager_thread)
(condition_list,condition_list)
(condition_show,condition_show)
(condition_create,condition_create)
(condition_port_list,condition_port_list)
(condition_port_clear,condition_port_clear)
(condition_add_real,condition_add_real)
(condition_add_integer,condition_add_integer)
(condition_add_string,condition_add_string)
(condition_add_boolean,condition_add_boolean)
(condition_add_value,condition_add_value)
(condition_set_port_value,condition_set_port_value)
(condition_get_setvalue,condition_get_setvalue)
(condition_get_value,condition_get_value)
(condition_get_value_type,condition_get_value_type)
(condition_delete_value,condition_delete_value)
(output_set_plugin,output_set_plugin)
(outputs_list,outputs_list)
