(save,save)
(width,WidthGetter)
(height,HeightGetter)
(pitch,PitchGetter)
(size,size)
(name,name)
(UNSIGNED_INT_24_8_WEBGL,Number)
(MAX_TEXTURE_MAX_ANISOTROPY_EXT,Number)
(TEXTURE_MAX_ANISOTROPY_EXT,Number)
(COMPRESSED_RGB_S3TC_DXT1_EXT,Number)
(COMPRESSED_RGBA_S3TC_DXT1_EXT,Number)
(COMPRESSED_RGBA_S3TC_DXT3_EXT,Number)
(COMPRESSED_RGBA_S3TC_DXT5_EXT,Number)
(COMPRESSED_RGB_PVRTC_4BPPV1_IMG,Number)
(COMPRESSED_RGBA_PVRTC_4BPPV1_IMG,Number)
(COMPRESSED_RGB_PVRTC_2BPPV1_IMG,Number)
(COMPRESSED_RGBA_PVRTC_2BPPV1_IMG,Number)
(COMPRESSED_RGB_ETC1_WEBGL,Number)
(GL_VERTEX_ATTRIB_ARRAY_DIVISOR_ANGLE,Number)
