(getActiveWindow,getActiveWindow)
(getMonitorFromWindow,getMonitorFromWindow)
(getMonitorScaleFactor,getMonitorScaleFactor)
(setWindowBounds,setWindowBounds)
(showWindow,showWindow)
(bringWindowToTop,bringWindowToTop)
(redrawWindow,redrawWindow)
(isWindow,isWindow)
(isWindowVisible,isWindowVisible)
(setWindowOpacity,setWindowOpacity)
(toggleWindowTransparency,toggleWindowTransparency)
(setWindowOwner,setWindowOwner)
(initWindow,initWindow)
(getWindowBounds,getWindowBounds)
(getWindowTitle,getWindowTitle)
(getWindowOwner,getWindowOwner)
(getWindowOpacity,getWindowOpacity)
(getMonitorInfo,getMonitorInfo)
(getWindows,getWindows)
(getMonitors,getMonitors)
(createProcess,createProcess)
(getProcessMainWindow,getProcessMainWindow)
