(wiringPiSetup,wiringPiSetup)
(wiringPiSetupGpio,wiringPiSetupGpio)
(wiringPiSetupSys,wiringPiSetupSys)
(wiringPiSetupPhys,wiringPiSetupPhys)
(pwmSetMode,pwmSetMode)
(pwmSetRange,pwmSetRange)
(pwmSetClock,pwmSetClock)
(gpioClockSet,gpioClockSet)
(wiringPiI2CSetupInterface,wiringPiI2CSetupInterface)
(wiringPiI2CSetup,wiringPiI2CSetup)
(wiringPiSPISetup,wiringPiSPISetup)
(wiringPiSPISetupMode,wiringPiSPISetupMode)
(setup,setup)
(pinModeAlt,pinModeAlt)
(pinMode,pinMode)
(pullUpDnControl,pullUpDnControl)
(digitalRead,digitalRead)
(digitalWrite,digitalWrite)
(pwmWrite,pwmWrite)
(analogRead,analogRead)
(analogWrite,analogWrite)
(delay,delay)
(delayMicroseconds,delayMicroseconds)
(millis,millis)
(micros,micros)
(piBoardRev,piBoardRev)
(piBoardId,piBoardId)
(wpiPinToGpio,wpiPinToGpio)
(physPinToGpio,physPinToGpio)
(setPadDrive,setPadDrive)
(getAlt,getAlt)
(pwmToneWrite,pwmToneWrite)
(digitalWriteByte,digitalWriteByte)
(softPwmCreate,softPwmCreate)
(softPwmWrite,softPwmWrite)
(softPwmStop,softPwmStop)
(shiftIn,shiftIn)
(shiftOut,shiftOut)
(softToneCreate,softToneCreate)
(softToneWrite,softToneWrite)
(softToneStop,softToneStop)
(serialOpen,serialOpen)
(serialClose,serialClose)
(serialFlush,serialFlush)
(serialPutchar,serialPutchar)
(serialPuts,serialPuts)
(serialPrintf,serialPrintf)
(serialDataAvail,serialDataAvail)
(serialGetchar,serialGetchar)
(wiringPiISR,wiringPiISR)
(wiringPiI2CRead,wiringPiI2CRead)
(wiringPiI2CReadReg8,wiringPiI2CReadReg8)
(wiringPiI2CReadReg16,wiringPiI2CReadReg16)
(wiringPiI2CWrite,wiringPiI2CWrite)
(wiringPiI2CWriteReg8,wiringPiI2CWriteReg8)
(wiringPiI2CWriteReg16,wiringPiI2CWriteReg16)
(wiringPiI2CClose,wiringPiI2CClose)
(wiringPiSPIGetFd,wiringPiSPIGetFd)
(wiringPiSPIDataRW,wiringPiSPIDataRW)
(wiringPiSPIClose,wiringPiSPIClose)
