(updateDeviceList,UpdateDeviceList)
(handleEvents,HandleEvents)
(registerHub,RegisterHub)
(preregisterHub,PreregisterHub)
(unregisterHub,UnregisterHub)
(checkLogicalName,CheckLogicalName)
(getApiVersion,GetApiVersion)
(getDevice,GetDevice)
(getAllDevices,GetAllDevices)
(getDeviceInfo,GetDeviceInfo)
(getDevicePath,GetDevicePath)
(getFunction,GetFunction)
(getFunctionsByClass,GetFunctionsByClass)
(getFunctionsByDevice,GetFunctionsByDevice)
(getFunctionInfo,GetFunctionInfo)
(httpRequest,HttpRequest)
(httpRequestAsync,HttpRequestAsync)
(apiBcdVersion,Number)
(beacon,Number)
(deviceId,Number)
(devRelease,Number)
(nbInterfaces,Number)
(vendorId,Number)
(device,Number)
