(ns,ctxt)
(_root,XmlDocument)
(_version,XmlDocument)
(_encoding,XmlDocument)
(_toString,XmlDocument)
(_validate,XmlDocument)
(_rngValidate,XmlDocument)
(_setDtd,XmlDocument)
(_getDtd,XmlDocument)
(fromXml,XmlDocument)
(fromXmlAsync,XmlDocument)
(fromHtml,XmlDocument)
(addChild,XmlElement)
(addCData,XmlElement)
(_attr,XmlElement)
(attrs,XmlElement)
(child,XmlElement)
(childNodes,XmlElement)
(find,XmlElement)
(nextElement,XmlElement)
(prevElement,XmlElement)
(name,XmlElement)
(path,XmlElement)
(text,XmlElement)
(addPrevSibling,XmlElement)
(addNextSibling,XmlElement)
(replace,XmlElement)
(nextElement,XmlText)
(prevElement,XmlText)
(text,XmlText)
(replace,XmlText)
(parseString,XmlSaxParser)
(push,XmlSaxParser)
(text,XmlComment)
(doc,XmlNode)
(parent,XmlNode)
(namespace,XmlNode)
(namespaces,XmlNode)
(prevSibling,XmlNode)
(nextSibling,XmlNode)
(line,XmlNode)
(type,XmlNode)
(remove,XmlNode)
(clone,XmlNode)
(toString,XmlNode)
(href,XmlNamespace)
(prefix,XmlNamespace)
(xmlMemUsed,XmlMemUsed)
(xmlNodeCount,XmlNodeCount)
(name,XmlAttribute)
(value,XmlAttribute)
(node,XmlAttribute)
(namespace,XmlAttribute)
(this,ErrorFunc)
(0,set)
(1,set)
