(http://exslt.org/common,exsltNodeSetFunction)
(http://xmlsoft.org/XSLT/namespace,xsltFunctionNodeSet)
(http://icl.com/saxon,xsltFunctionNodeSet)
(http://www.jclark.com/xt,xsltFunctionNodeSet)
(http://exslt.org/sets,exsltSetsDifferenceFunction)
(http://exslt.org/sets,exsltSetsIntersectionFunction)
(http://exslt.org/sets,exsltSetsDistinctFunction)
(http://exslt.org/sets,exsltSetsHasSameNodesFunction)
(http://exslt.org/sets,exsltSetsLeadingFunction)
(http://exslt.org/sets,exsltSetsTrailingFunction)
(stylesheetSync,StylesheetSync)
(stylesheetAsync,StylesheetAsync)
(applySync,ApplySync)
(applyAsync,ApplyAsync)
(registerEXSLT,RegisterEXSLT)
