(glAccum,_glAccum)
(glAlphaFunc,_glAlphaFunc)
(glAreTexturesResident,_glAreTexturesResident)
(glArrayElement,_glArrayElement)
(glBegin,_glBegin)
(glEnd,_glEnd)
(glBindTexture,_glBindTexture)
(glBitmap,_glBitmap)
(glBlendFunc,_glBlendFunc)
(glCallList,_glCallList)
(glClear,_glClear)
(glClearAccum,_glClearAccum)
(glClearColor,_glClearColor)
(glClearDepth,_glClearDepth)
(glClearIndex,_glClearIndex)
(glClearStencil,_glClearStencil)
(glClipPlane,_glClipPlane)
(glColor3b,_glColor3b)
(glColor3d,_glColor3d)
(glColor3f,_glColor3f)
(glColor3i,_glColor3i)
(glColor3s,_glColor3s)
(glColor3ub,_glColor3ub)
(glColor3us,_glColor3us)
(glColor4b,_glColor4b)
(glColor4d,_glColor4d)
(glColor4f,_glColor4f)
(glColor4i,_glColor4i)
(glColor4s,_glColor4s)
(glColor4ub,_glColor4ub)
(glColor4us,_glColor4us)
(glColor3bv,_glColor3bv)
(glColor3dv,_glColor3dv)
(glColor3fv,_glColor3fv)
(glColor3iv,_glColor3iv)
(glColor3sv,_glColor3sv)
(glColor3ubv,_glColor3ubv)
(glColor3uiv,_glColor3uiv)
(glColor3usv,_glColor3usv)
(glColor4bv,_glColor4bv)
(glColor4dv,_glColor4dv)
(glColor4fv,_glColor4fv)
(glColor4iv,_glColor4iv)
(glColor4sv,_glColor4sv)
(glColor4ubv,_glColor4ubv)
(glColor4uiv,_glColor4uiv)
(glColor4usv,_glColor4usv)
(glColorMask,_glColorMask)
(glColorMaterial,_glColorMaterial)
(glColorPointer,_glColorPointer)
(glCopyPixels,_glCopyPixels)
(glCopyTexImage1D,_glCopyTexImage1D)
(glCopyTexImage2D,_glCopyTexImage2D)
(glCopyTexSubImage1D,_glCopyTexSubImage1D)
(glCopyTexSubImage2D,_glCopyTexSubImage2D)
(glCullFace,_glCullFace)
(glDeleteLists,_glDeleteLists)
(glDeleteTextures,_glDeleteTextures)
(glDepthMask,_glDepthMask)
(glDepthRange,_glDepthRange)
(glEnable,_glEnable)
(glDisable,_glDisable)
(glDrawArrays,_glDrawArrays)
(glDrawBuffer,_glDrawBuffer)
(glDrawElements,_glDrawElements)
(glDrawPixels,_glDrawPixels)
(glEdgeFlag,_glEdgeFlag)
(glEdgeFlagv,_glEdgeFlagv)
(glEdgeFlagPointer,_glEdgeFlagPointer)
(glEnableClientState,_glEnableClientState)
(glDisableClientState,_glDisableClientState)
(glEvalCoord1d,_glEvalCoord1d)
(glEvalCoord1f,_glEvalCoord1f)
(glEvalCoord2d,_glEvalCoord2d)
(glEvalCoord2f,_glEvalCoord2f)
(glEvalCoord1dv,_glEvalCoord1dv)
(glEvalCoord1fv,_glEvalCoord1fv)
(glEvalCoord2dv,_glEvalCoord2dv)
(glEvalCoord2fv,_glEvalCoord2fv)
(glEvalMesh1,_glEvalMesh1)
(glEvalMesh2,_glEvalMesh2)
(glEvalPoint1,_glEvalPoint1)
(glEvalPoint2,_glEvalPoint2)
(glFeedbackBuffer,_glFeedbackBuffer)
(glFinish,_glFinish)
(glFlush,_glFlush)
(glFogf,_glFogf)
(glFogi,_glFogi)
(glFogfv,_glFogfv)
(glFogiv,_glFogiv)
(glFrontFace,_glFrontFace)
(glFrustum,_glFrustum)
(glGenLists,_glGenLists)
(glGenTextures,_glGenTextures)
(glGetBooleanv,_glGetBooleanv)
(glGetDoublev,_glGetDoublev)
(glGetFloatv,_glGetFloatv)
(glGetIntegerv,_glGetIntegerv)
(glGetClipPlane,_glGetClipPlane)
(glGetError,_glGetError)
(glGetLightfv,_glGetLightfv)
(glGetLightiv,_glGetLightiv)
(glGetMapdv,_glGetMapdv)
(glGetMapfv,_glGetMapfv)
(glGetMapiv,_glGetMapiv)
(glGetMaterialfv,_glGetMaterialfv)
(glGetMaterialiv,_glGetMaterialiv)
