(callMethod,CallMethod)
(callMethodWithBlock,CallMethodWithBlock)
(setOwner,SetOwner)
(getOwner,GetOwner)
(getType,GetType)
(getSymbol,GetSymbol)
(jsStrToRuby,JsStrToRuby)
(jsNumToRuby,JsNumToRuby)
(rubyStrToJS,RubyStrToJS)
(rubyFixnumToJS,RubyFixnumToJS)
(rubyFloatToJS,RubyFloatToJS)
(setOwner,SetOwner)
(error,RubyValue)
(Object,RubyValue)
(RubyValue,RubyValue)
(NONE,Integer)
(NIL,Integer)
(OBJECT,Integer)
(CLASS,Integer)
(ICLASS,Integer)
(MODULE,Integer)
(FLOAT,Integer)
(STRING,Integer)
(REGEXP,Integer)
(ARRAY,Integer)
(HASH,Integer)
(STRUCT,Integer)
(BIGNUM,Integer)
(FILE,Integer)
(FIXNUM,Integer)
(TRUE,Integer)
(FALSE,Integer)
(DATA,Integer)
(MATCH,Integer)
(SYMBOL,Integer)
(RATIONAL,Integer)
(COMPLEX,Integer)
