(gpioHardwareRevision,gpioHardwareRevision)
(gpioCfgInterfaces,gpioCfgInterfaces)
(gpioInitialise,gpioInitialise)
(gpioTerminate,gpioTerminate)
(gpioSetMode,gpioSetMode)
(gpioGetMode,gpioGetMode)
(gpioSetPullUpDown,gpioSetPullUpDown)
(gpioRead,gpioRead)
(gpioWrite,gpioWrite)
(gpioTrigger,gpioTrigger)
(gpioPWM,gpioPWM)
(gpioHardwarePWM,gpioHardwarePWM)
(gpioGetPWMdutycycle,gpioGetPWMdutycycle)
(gpioSetPWMrange,gpioSetPWMrange)
(gpioGetPWMrange,gpioGetPWMrange)
(gpioGetPWMrealRange,gpioGetPWMrealRange)
(gpioSetPWMfrequency,gpioSetPWMfrequency)
(gpioGetPWMfrequency,gpioGetPWMfrequency)
(gpioServo,gpioServo)
(gpioGetServoPulsewidth,gpioGetServoPulsewidth)
(gpioSetISRFunc,gpioSetISRFunc)
(gpioSetAlertFunc,gpioSetAlertFunc)
(gpioGlitchFilter,gpioGlitchFilter)
(GpioReadBits_0_31,GpioReadBits_0_31)
(GpioReadBits_32_53,GpioReadBits_32_53)
(GpioWriteBitsSet_0_31,GpioWriteBitsSet_0_31)
(GpioWriteBitsSet_32_53,GpioWriteBitsSet_32_53)
(GpioWriteBitsClear_0_31,GpioWriteBitsClear_0_31)
(GpioWriteBitsClear_32_53,GpioWriteBitsClear_32_53)
(gpioNotifyOpen,gpioNotifyOpen)
(gpioNotifyOpenWithSize,gpioNotifyOpenWithSize)
(gpioNotifyBegin,gpioNotifyBegin)
(gpioNotifyPause,gpioNotifyPause)
(gpioNotifyClose,gpioNotifyClose)
(gpioWaveClear,gpioWaveClear)
(gpioWaveAddNew,gpioWaveAddNew)
(gpioWaveAddGeneric,gpioWaveAddGeneric)
(gpioWaveCreate,gpioWaveCreate)
(gpioWaveDelete,gpioWaveDelete)
(gpioWaveTxSend,gpioWaveTxSend)
(gpioWaveChain,gpioWaveChain)
(gpioWaveTxAt,gpioWaveTxAt)
(gpioWaveTxBusy,gpioWaveTxBusy)
(gpioWaveTxStop,gpioWaveTxStop)
(gpioWaveGetMicros,gpioWaveGetMicros)
(gpioWaveGetHighMicros,gpioWaveGetHighMicros)
(gpioWaveGetMaxMicros,gpioWaveGetMaxMicros)
(gpioWaveGetPulses,gpioWaveGetPulses)
(gpioWaveGetHighPulses,gpioWaveGetHighPulses)
(gpioWaveGetMaxPulses,gpioWaveGetMaxPulses)
(gpioWaveGetCbs,gpioWaveGetCbs)
(gpioWaveGetHighCbs,gpioWaveGetHighCbs)
(gpioWaveGetMaxCbs,gpioWaveGetMaxCbs)
(gpioCfgClock,gpioCfgClock)
(gpioCfgSocketPort,gpioCfgSocketPort)
(gpioTick,gpioTick)
