(send,Send)
(enableTransmit,EnableTransmit)
(disableTransmit,DisableTransmit)
(setPulseLength,SetPulseLength)
(setRepeatTransmit,SetRepeatTransmit)
(switchOn,SwitchOn)
(switchOff,SwitchOff)
(sendTriState,SendTriState)
(enableReceive,EnableReceive)
(disableReceive,DisableReceive)
(available,Available)
(resetAvailable,ResetAvailable)
(getReceivedValue,GetReceivedValue)
(getReceivedBitlength,GetReceivedBitlength)
(getReceivedDelay,GetReceivedDelay)
(getReceivedProtocol,GetReceivedProtocol)
(getReceivedRawdata,GetReceivedRawdata)
(setProtocol,SetProtocol)
