(_click,Click)
(_press,Press)
(_release,Release)
(compile,Compile)
(getState,GetState)
(isValid,IsValid)
(close,Close)
(isTopMost,IsTopMost)
(isBorderless,IsBorderless)
(isMinimized,IsMinimized)
(isMaximized,IsMaximized)
(setTopMost,SetTopMost)
(setBorderless,SetBorderless)
(setMinimized,SetMinimized)
(setMaximized,SetMaximized)
(getProcess,GetProcess)
(getPID,GetPID)
(getHandle,GetHandle)
(setHandle,SetHandle)
(getTitle,GetTitle)
(setTitle,SetTitle)
(getBounds,GetBounds)
(_setBounds,SetBounds)
(getClient,GetClient)
(_setClient,SetClient)
(_mapToClient,MapToClient)
(_mapToScreen,MapToScreen)
(_equals,Equals)
(getList,GetList)
(getActive,GetActive)
(_setActive,SetActive)
(isAxEnabled,IsAxEnabled)
(prepare,Prepare)
(sleep,Sleep)
(clock,Clock)
(clear,Clear)
(hasText,HasText)
(getText,GetText)
(setText,SetText)
(hasImage,HasImage)
(getImage,GetImage)
(setImage,SetImage)
(getSequence,GetSequence)
(open,Open)
(is64Bit,Is64Bit)
(isDebugged,IsDebugged)
(getName,GetName)
(getPath,GetPath)
(exit,Exit)
(kill,Kill)
(hasExited,HasExited)
(getModules,GetModules)
(getWindows,GetWindows)
(getCurrent,GetCurrent)
(_isSys64Bit,IsSys64Bit)
(_getSegments,GetSegments)
(_create,Create)
(destroy,Destroy)
(getWidth,GetWidth)
(getHeight,GetHeight)
(getLength,GetLength)
(getData,GetData)
(getLimit,GetLimit)
(_getPixel,GetPixel)
(_setPixel,SetPixel)
(_fill,Fill)
(swap,Swap)
(flip,Flip)
(_scrollH,ScrollH)
(_scrollV,ScrollV)
(getPos,GetPos)
(_setPos,SetPos)
(synchronize,Synchronize)
(grabScreen,GrabScreen)
(isCompositing,IsCompositing)
(setCompositing,SetCompositing)
(getStats,GetStats)
(getRegion,GetRegion)
(getRegions,GetRegions)
(_setAccess,SetAccess)
(find,Find)
(createCache,CreateCache)
(clearCache,ClearCache)
(deleteCache,DeleteCache)
(isCaching,IsCaching)
(getCacheSize,GetCacheSize)
(readData,ReadData)
(writeData,WriteData)
(_readType,ReadType)
(_writeType,WriteType)
