(sodium_version_string,bind_sodium_version_string)
(sodium_library_version_minor,bind_sodium_library_version_minor)
(sodium_library_version_major,bind_sodium_library_version_major)
(memzero,bind_memzero)
(memcmp,bind_memcmp)
(randombytes_buf,bind_randombytes_buf)
(randombytes,bind_randombytes_buf)
(randombytes_close,bind_randombytes_close)
(randombytes_stir,bind_randombytes_stir)
(randombytes_random,bind_randombytes_random)
(randombytes_uniform,bind_randombytes_uniform)
(crypto_verify_16,bind_crypto_verify_16)
(crypto_verify_32,bind_crypto_verify_32)
(crypto_hash,bind_crypto_hash)
(crypto_hash_sha512,bind_crypto_hash_sha512)
(crypto_hash_sha256,bind_crypto_hash_sha256)
(crypto_auth,bind_crypto_auth)
(crypto_auth_verify,bind_crypto_auth_verify)
(crypto_onetimeauth,bind_crypto_onetimeauth)
(crypto_onetimeauth_verify,bind_crypto_onetimeauth_verify)
(crypto_stream,bind_crypto_stream)
(crypto_stream_xor,bind_crypto_stream_xor)
(crypto_secretbox,bind_crypto_secretbox)
(crypto_secretbox_open,bind_crypto_secretbox_open)
(crypto_secretbox_easy,bind_crypto_secretbox_easy)
(crypto_secretbox_open_easy,bind_crypto_secretbox_open_easy)
(crypto_sign,bind_crypto_sign)
(crypto_sign_detached,bind_crypto_sign_detached)
(crypto_sign_keypair,bind_crypto_sign_keypair)
(crypto_sign_seed_keypair,bind_crypto_sign_seed_keypair)
(crypto_sign_open,bind_crypto_sign_open)
(crypto_sign_verify_detached,bind_crypto_sign_verify_detached)
(crypto_sign_ed25519_pk_to_curve25519,bind_crypto_sign_ed25519_pk_to_curve25519)
(crypto_sign_ed25519_sk_to_curve25519,bind_crypto_sign_ed25519_sk_to_curve25519)
(crypto_box,bind_crypto_box)
(crypto_box_easy,bind_crypto_box_easy)
(crypto_box_keypair,bind_crypto_box_keypair)
(crypto_box_open,bind_crypto_box_open)
(crypto_box_open_easy,bind_crypto_box_open_easy)
(crypto_box_beforenm,bind_crypto_box_beforenm)
(crypto_box_afternm,bind_crypto_box_afternm)
(crypto_box_open_afternm,bind_crypto_box_open_afternm)
(crypto_shorthash,bind_crypto_shorthash)
(crypto_scalarmult,bind_crypto_scalarmult)
(crypto_scalarmult_base,bind_crypto_scalarmult_base)
