(name,name)
(swe_deltat,node_swe_deltat)
(swe_time_equ,node_swe_time_equ)
(swe_sidtime0,node_swe_sidtime0)
(swe_sidtime,node_swe_sidtime)
(swe_cotrans,node_swe_cotrans)
(swe_cotrans_sp,node_swe_cotrans_sp)
(swe_get_tid_acc,node_swe_get_tid_acc)
(swe_set_tid_acc,node_swe_set_tid_acc)
(swe_degnorm,node_swe_degnorm)
(swe_radnorm,node_swe_radnorm)
(swe_rad_midp,node_swe_rad_midp)
(swe_deg_midp,node_swe_deg_midp)
(swe_split_deg,node_swe_split_deg)
(swe_csnorm,node_swe_csnorm)
(swe_difcsn,node_swe_difcsn)
(swe_difdegn,node_swe_difdegn)
(swe_difcs2n,node_swe_difcs2n)
(swe_difdeg2n,node_swe_difdeg2n)
(swe_difrad2n,node_swe_difrad2n)
(swe_csroundsec,node_swe_csroundsec)
(swe_d2l,node_swe_d2l)
(swe_day_of_week,node_swe_day_of_week)
(swe_cs2timestr,node_swe_cs2timestr)
(swe_cs2lonlatstr,node_swe_cs2lonlatstr)
(swe_cs2degstr,node_swe_cs2degstr)
(swe_date_conversion,node_swe_date_conversion)
(swe_julday,node_swe_julday)
(swe_revjul,node_swe_revjul)
(swe_utc_to_jd,node_swe_utc_to_jd)
(swe_jdet_to_utc,node_swe_jdet_to_utc)
(swe_jdut1_to_utc,node_swe_jdut1_to_utc)
(swe_utc_time_zone,node_swe_utc_time_zone)
(swe_version,node_swe_version)
(swe_calc_ut,node_swe_calc_ut)
(swe_calc,node_swe_calc)
(swe_fixstar,node_swe_fixstar)
(swe_fixstar_ut,node_swe_fixstar_ut)
(swe_fixstar_mag,node_swe_fixstar_mag)
(swe_fixstar2,node_swe_fixstar2)
(swe_fixstar2_ut,node_swe_fixstar2_ut)
(swe_fixstar2_mag,node_swe_fixstar2_mag)
(swe_close,node_swe_close)
(swe_set_ephe_path,node_swe_set_ephe_path)
(swe_set_jpl_file,node_swe_set_jpl_file)
(swe_get_planet_name,node_swe_get_planet_name)
(swe_set_topo,node_swe_set_topo)
(swe_set_sid_mode,node_swe_set_sid_mode)
(swe_get_ayanamsa,node_swe_get_ayanamsa)
(swe_get_ayanamsa_ut,node_swe_get_ayanamsa_ut)
(swe_get_ayanamsa_ex,node_swe_get_ayanamsa_ex)
(swe_get_ayanamsa_ex_ut,node_swe_get_ayanamsa_ex_ut)
(swe_get_ayanamsa_name,node_swe_get_ayanamsa_name)
(swe_nod_aps,node_swe_nod_aps)
(swe_nod_aps_ut,node_swe_nod_aps_ut)
(swe_get_orbital_elements,node_swe_get_orbital_elements)
(swe_orbit_max_min_true_distance,node_swe_orbit_max_min_true_distance)
(swe_heliacal_ut,node_swe_heliacal_ut)
(swe_heliacal_pheno_ut,node_swe_heliacal_pheno_ut)
(swe_vis_limit_mag,node_swe_vis_limit_mag)
(swe_houses,node_swe_houses)
(swe_houses_ex,node_swe_houses_ex)
(swe_houses_ex2,node_swe_houses_ex2)
(swe_houses_armc,node_swe_houses_armc)
(swe_houses_armc_ex2,node_swe_houses_armc_ex2)
(swe_houses_pos,node_swe_houses_pos)
(swe_gauquelin_sector,node_swe_gauquelin_sector)
(swe_sol_eclipse_where,node_swe_sol_eclipse_where)
(swe_lun_occult_where,node_swe_lun_occult_where)
(swe_sol_eclipse_how,node_swe_sol_eclipse_how)
(swe_sol_eclipse_when_loc,node_swe_sol_eclipse_when_loc)
(swe_lun_occult_when_loc,node_swe_lun_occult_when_loc)
(swe_sol_eclipse_when_glob,node_swe_sol_eclipse_when_glob)
(swe_lun_occult_when_glob,node_swe_lun_occult_when_glob)
(swe_lun_eclipse_how,node_swe_lun_eclipse_how)
(swe_lun_eclipse_when,node_swe_lun_eclipse_when)
(swe_lun_eclipse_when_loc,node_swe_lun_eclipse_when_loc)
(swe_pheno,node_swe_pheno)
(swe_pheno_ut,node_swe_pheno_ut)
(swe_refrac,node_swe_refrac)
(swe_refrac_extended,node_swe_refrac_extended)
(swe_set_lapse_rate,node_swe_set_lapse_rate)
(swe_azalt,node_swe_azalt)
(swe_azalt_rev,node_swe_azalt_rev)
(swe_rise_trans,node_swe_rise_trans)
(swe_rise_trans_true_hor,node_swe_rise_trans_true_hor)
