(close,Close)
(setNull,SetNull)
(setInteger,SetInteger)
(setLongInteger,SetLongInteger)
(setDouble,SetDouble)
(setBoolean,SetBoolean)
(setString,SetString)
(setCharString,SetCharString)
(setDate,SetDate)
(setDateTime,SetDateTime)
(setDuration,SetDuration)
(setSpatial,SetSpatial)
(connect,Connect)
(disconnect,Disconnect)
(publishExtract,PublishExtract)
(setProxyCredentials,SetProxyCredentials)
(getTableDefinition,GetTableDefinition)
(insert,Insert)
(addTable,AddTable)
(openTable,OpenTable)
(hasTable,HasTable)
(getDefaultCollation,GetDefaultCollation)
(setDefaultCollation,SetDefaultCollation)
(addColumn,AddColumn)
(addColumnWithCollation,AddColumnWithCollation)
(getColumnCount,GetColumnCount)
(getColumnName,GetColumnName)
(getColumnType,GetColumnType)
(getColumnCollation,GetColumnCollation)
