(checkKey,checkKey)
(checkRingSignature,checkRingSignature)
(checkSignature,checkSignature)
(derivePublicKey,derivePublicKey)
(deriveSecretKey,deriveSecretKey)
(generateKeys,generateKeys)
(generateKeyDerivation,generateKeyDerivation)
(generateKeyImage,generateKeyImage)
(generatePrivateViewKeyFromPrivateSpendKey,generatePrivateViewKeyFromPrivateSpendKey)
(generateViewKeysFromPrivateSpendKey,generateViewKeysFromPrivateSpendKey)
(generateRingSignatures,generateRingSignatures)
(generateSignature,generateSignature)
(hashToEllipticCurve,hashToEllipticCurve)
(hashToScalar,hashToScalar)
(scalarmultKey,scalarmultKey)
(scReduce32,scReduce32)
(secretKeyToPublicKey,secretKeyToPublicKey)
(tree_depth,tree_depth)
(tree_hash,tree_hash)
(tree_branch,tree_branch)
(tree_hash_from_branch,tree_hash_from_branch)
(underivePublicKey,underivePublicKey)
(cnFastHash,cn_fast_hash)
(cn_fast_hash,cn_fast_hash)
(cn_slow_hash_v0,cn_slow_hash_v0)
(cn_slow_hash_v1,cn_slow_hash_v1)
(cn_slow_hash_v2,cn_slow_hash_v2)
(cn_lite_slow_hash_v0,cn_lite_slow_hash_v0)
(cn_lite_slow_hash_v1,cn_lite_slow_hash_v1)
(cn_lite_slow_hash_v2,cn_lite_slow_hash_v2)
(cn_dark_slow_hash_v0,cn_dark_slow_hash_v0)
(cn_dark_slow_hash_v1,cn_dark_slow_hash_v1)
(cn_dark_slow_hash_v2,cn_dark_slow_hash_v2)
(cn_dark_lite_slow_hash_v0,cn_dark_lite_slow_hash_v0)
(cn_dark_lite_slow_hash_v1,cn_dark_lite_slow_hash_v1)
(cn_dark_lite_slow_hash_v2,cn_dark_lite_slow_hash_v2)
(cn_turtle_slow_hash_v0,cn_turtle_slow_hash_v0)
(cn_turtle_slow_hash_v1,cn_turtle_slow_hash_v1)
(cn_turtle_slow_hash_v2,cn_turtle_slow_hash_v2)
(cn_turtle_lite_slow_hash_v0,cn_turtle_lite_slow_hash_v0)
(cn_turtle_lite_slow_hash_v1,cn_turtle_lite_slow_hash_v1)
(cn_turtle_lite_slow_hash_v2,cn_turtle_lite_slow_hash_v2)
(chukwa_slow_hash,chukwa_slow_hash)
