(generatePrivateKey,GeneratePrivateKey)
(getExponent,GetExponent)
(getPrivateExponent,GetPrivateExponent)
(getModulus,GetModulus)
(getPrivateKeyPem,GetPrivateKeyPem)
(getPublicKeyPem,GetPublicKeyPem)
(privateDecrypt,PrivateDecrypt)
(privateEncrypt,PrivateEncrypt)
(publicDecrypt,PublicDecrypt)
(publicEncrypt,PublicEncrypt)
(setPrivateKeyPem,SetPrivateKeyPem)
(setPublicKeyPem,SetPublicKeyPem)
(sign,Sign)
(verify,Verify)
(createPrivateKeyFromComponents,CreatePrivateKeyFromComponents)
(createPublicKeyFromComponents,CreatePublicKeyFromComponents)
(openPublicSshKey,OpenPublicSshKey)
(addPSSPadding,AddPSSPadding)
(verifyPSSPadding,VerifyPSSPadding)
(textToNid,TextToNid)
