(vorbis_info_init,node_vorbis_info_init)
(vorbis_comment_init,node_vorbis_comment_init)
(vorbis_synthesis_init,node_vorbis_synthesis_init)
(vorbis_analysis_init,node_vorbis_analysis_init)
(vorbis_block_init,node_vorbis_block_init)
(vorbis_encode_init_vbr,node_vorbis_encode_init_vbr)
(vorbis_analysis_headerout,node_vorbis_analysis_headerout)
(vorbis_analysis_write,node_vorbis_analysis_write)
(vorbis_analysis_blockout,node_vorbis_analysis_blockout)
(vorbis_analysis_eos,node_vorbis_analysis_eos)
(vorbis_analysis,node_vorbis_analysis)
(vorbis_bitrate_addblock,node_vorbis_bitrate_addblock)
(vorbis_bitrate_flushpacket,node_vorbis_bitrate_flushpacket)
(vorbis_synthesis_idheader,node_vorbis_synthesis_idheader)
(vorbis_synthesis_headerin,node_vorbis_synthesis_headerin)
(vorbis_synthesis,node_vorbis_synthesis)
(vorbis_synthesis_blockin,node_vorbis_synthesis_blockin)
(vorbis_synthesis_pcmout,node_vorbis_synthesis_pcmout)
(comment_array,node_comment_array)
(get_format,node_get_format)
