(newFileInstance,newFileInstance)
(newFileInstanceWin32,newFileInstanceWin32)
(newFileInstanceFromCopy,newFileInstanceFromCopy)
(newFileInstanceFromCopyWin32,newFileInstanceFromCopyWin32)
(newMemoryInstance,newMemoryInstance)
(clearInstance,clearInstance)
(setVerbose,setVerbose)
(showWoT,showWoT)
(dumpWoT,dumpWoT)
(showGraph,showGraph)
(resetWoT,resetWoT)
(getWoTSize,getWoTSize)
(addNode,addNode)
(removeNode,removeNode)
(setMaxCert,setMaxCert)
(getMaxCert,getMaxCert)
(isEnabled,isEnabled)
(setEnabled,setEnabled)
(existsLink,existsLink)
(addLink,addLink)
(removeLink,removeLink)
(isOutdistanced,isOutdistanced)
(detailedDistance,detailedDistance)
(getSentries,getSentries)
(getNonSentries,getNonSentries)
(getDisabled,getDisabled)
(getPaths,getPaths)
