(setCurrentSliceSize,SetCurrentSliceSize)
(freeMem,FreeMem)
(info,GetInfo)
(opencl_device_info,OclDeviceInfo)
(end,EndInput)
(set_HasherOutput,SetHasherOutput)
(get,Get)
(set_HasherInput,SetHasherInput)
(HasherInput,New)
(gf_info,GfInfo)
(opencl_devices,OclDevices)
(update,Update)
(get,GetOutputSlice)
(setProgressCb,SetProgressCb)
(reset,Reset)
(hasher_clear,HasherInputClear)
(hasherOutput_method,HasherOutputMethod)
(close,Close)
(add,AddSlice)
(end,End)
(HasherOutput,New)
(GfProc,New)
(setRecoverySlices,SetRecoverySlices)
(hasherInput_method,HasherInputMethod)
(setNumThreads,SetNumThreads)
