(sendReport,sendReport)
(addEdge,addEdge)
(isReadyToSample,isReadyToSample)
(Event,Event)
(start,start)
(getVersionString,getVersionString)
(stop,stop)
(oboeInit,oboeInit)
(getSettings,getConfigSettings)
(getTraceSettings,getTraceSettings)
(status,oboeNotifierStatus)
(o,o)
(sendNonHttpSpan,sendNonHttpSpan)
(sendHttpSpan,sendHttpSpan)
(getEventStats,getEventStats)
(addInfo,addInfo)
(init,oboeNotifierInit)
(getMetrics,getMetrics)
(sendMetric,sendMetric)
(flush,flush)
(getType,getType)
(makeRandom,makeRandom)
(sanitize,sanitize)
(setTracingMode,setTracingMode)
(getStats,getStats)
(getSampleFlag,getSampleFlag)
(getBytesAllocated,getBytesAllocated)
(stop,oboeNotifierStop)
(sendStatus,sendStatus)
(toString,toString)
(sendMetrics,sendMetrics)
(makeFromBuffer,makeFromBuffer)
(setDefaultSampleRate,setDefaultSampleRate)
