(SetLicenseKey,setLicenseKey)
(SetProductData,setProductData)
(GetLicenseType,getLicenseType)
(GetTrialId,getTrialId)
(ActivateLicense,activateLicense)
(GetLicenseAllowedDeactivations,getLicenseAllowedDeactivations)
(GetActivationMeterAttributeUses,getActivationMeterAttributeUses)
(GenerateOfflineActivationRequest,generateOfflineActivationRequest)
(SetReleaseChannel,setReleaseChannel)
(GenerateOfflineDeactivationRequest,generateOfflineDeactivationRequest)
(GenerateOfflineTrialActivationRequest,generateOfflineTrialActivationRequest)
(GetLicenseTotalDeactivations,getLicenseTotalDeactivations)
(GetActivationMetadata,getActivationMetadata)
(GetLicenseMeterAttribute,getLicenseMeterAttribute)
(GetLicenseUserMetadata,getLicenseUserMetadata)
(SetTwoFactorAuthenticationCode,setTwoFactorAuthenticationCode)
(SetProductId,setProductId)
(AuthenticateUser,authenticateUser)
(SetNetworkProxy,setNetworkProxy)
(GetActivationId,getActivationId)
(SetCryptlexHost,setCryptlexHost)
(GetActivationMode,getActivationMode)
(GetLicenseMetadata,getLicenseMetadata)
(SetCacheMode,setCacheMode)
(GetLicenseActivationDate,getLicenseActivationDate)
(IsLocalTrialGenuine,isLocalTrialGenuine)
(SetLicenseUserCredential,setLicenseUserCredential)
(GetLicenseUserName,getLicenseUserName)
(GetProductVersionName,getProductVersionName)
(SetAppVersion,setAppVersion)
(GetUserLicenses,getUserLicenses)
(IsLicenseGenuine,isLicenseGenuine)
(IsTrialGenuine,isTrialGenuine)
(GetLicenseExpiryDate,getLicenseExpiryDate)
(ResetActivationMeterAttributeUses,resetActivationMeterAttributeUses)
(AuthenticateUserWithIdToken,authenticateUserWithIdToken)
(GetLicenseMaxAllowedReleaseVersion,getLicenseMaxAllowedReleaseVersion)
(SetDataDirectory,setDataDirectory)
(SetReleaseVersion,setReleaseVersion)
(SetActivationMetadata,setActivationMetadata)
(SetCustomDeviceFingerprint,setCustomDeviceFingerprint)
(GetServerSyncGracePeriodExpiryDate,getServerSyncGracePeriodExpiryDate)
(IsLicenseValid,isLicenseValid)
(DeactivateLicense,deactivateLicense)
(GetTrialActivationMetadata,getTrialActivationMetadata)
(SetReleasePublishedDate,setReleasePublishedDate)
(GetLicenseOrganizationName,getLicenseOrganizationName)
(SetDebugMode,setDebugMode)
(GetProductVersionFeatureFlag,getProductVersionFeatureFlag)
(GetLibraryVersion,getLibraryVersion)
(CheckForReleaseUpdate,checkForReleaseUpdate)
(SetProductFile,setProductFile)
(GetLicenseAllowedActivations,getLicenseAllowedActivations)
(SetOfflineActivationRequestMeterAttributeUses,setOfflineActivationRequestMeterAttributeUses)
(ActivateTrial,activateTrial)
(DecrementActivationMeterAttributeUses,decrementActivationMeterAttributeUses)
(GetTrialExpiryDate,getTrialExpiryDate)
(GetProductVersionDisplayName,getProductVersionDisplayName)
(GetLicenseKey,getLicenseKey)
(ActivateLocalTrial,activateLocalTrial)
(CheckReleaseUpdate,checkReleaseUpdate)
(ActivateLicenseOffline,activateLicenseOffline)
(SetActivationLeaseDuration,setActivationLeaseDuration)
(GetLicenseUserEmail,getLicenseUserEmail)
(Reset,reset)
(GetLicenseOrganizationAddress,getLicenseOrganizationAddress)
(GetActivationCreationDate,getActivationCreationDate)
(SetLicenseCallback,setLicenseCallback)
(GetLicenseMaintenanceExpiryDate,getLicenseMaintenanceExpiryDate)
(SetTrialActivationMetadata,setTrialActivationMetadata)
(GetLicenseTotalActivations,getLicenseTotalActivations)
(ExtendLocalTrial,extendLocalTrial)
(GetProductMetadata,getProductMetadata)
(SetReleasePlatform,setReleasePlatform)
(GetLicenseCreationDate,getLicenseCreationDate)
(GetLocalTrialExpiryDate,getLocalTrialExpiryDate)
(GetLicenseUserCompany,getLicenseUserCompany)
(IncrementActivationMeterAttributeUses,incrementActivationMeterAttributeUses)
(ActivateTrialOffline,activateTrialOffline)
