(GetHostProductVersionFeatureFlag,getHostProductVersionFeatureFlag)
(GetHostLicenseMeterAttribute,getHostLicenseMeterAttribute)
(GetFloatingClientMetadata,getFloatingClientMetadata)
(SetHostProductId,setHostProductId)
(RequestOfflineFloatingLicense,requestOfflineFloatingLicense)
(SetHostUrl,setHostUrl)
(SetFloatingLicenseCallback,setFloatingLicenseCallback)
(GetHostLicenseExpiryDate,getHostLicenseExpiryDate)
(DecrementFloatingClientMeterAttributeUses,decrementFloatingClientMeterAttributeUses)
(GetFloatingClientLibraryVersion,getFloatingClientLibraryVersion)
(HasFloatingLicense,hasFloatingLicense)
(GetHostProductVersionName,getHostProductVersionName)
(GetHostProductVersionDisplayName,getHostProductVersionDisplayName)
(GetHostLicenseMetadata,getHostLicenseMetadata)
(GetFloatingLicenseMode,getFloatingLicenseMode)
(SetFloatingClientMetadata,setFloatingClientMetadata)
(RequestFloatingLicense,requestFloatingLicense)
(GetHostConfig,getHostConfig)
(ResetFloatingClientMeterAttributeUses,resetFloatingClientMeterAttributeUses)
(GetFloatingClientLeaseExpiryDate,getFloatingClientLeaseExpiryDate)
(GetFloatingClientMeterAttributeUses,getFloatingClientMeterAttributeUses)
(DropFloatingLicense,dropFloatingLicense)
(IncrementFloatingClientMeterAttributeUses,incrementFloatingClientMeterAttributeUses)
(SetPermissionFlag,setPermissionFlag)
