(getBufferParameteriv,napi_glGetBufferParameteriv)
(renderbufferStorage,napi_glRenderbufferStorage)
(isEnabled,napi_glIsEnabled)
(stencilMask,napi_glStencilMask)
(uniform4f,napi_glUniform4f)
(disable,napi_glDisable)
(genRenderbuffers,napi_glGenRenderbuffers)
(getProgramiv,napi_glGetProgramiv)
(colorMask,napi_glColorMask)
(drawElements,napi_glDrawElements)
(getFramebufferAttachmentParameteriv,napi_glGetFramebufferAttachmentParameteriv)
(uniform1iv,napi_glUniform1iv)
(getVertexAttribPointerv,napi_glGetVertexAttribPointerv)
(deleteBuffers,napi_glDeleteBuffers)
(cullFace,napi_glCullFace)
(depthRangef,napi_glDepthRangef)
(bindBuffer,napi_glBindBuffer)
(bufferData,napi_glBufferData)
(depthFunc,napi_glDepthFunc)
(framebufferTexture2D,napi_glFramebufferTexture2D)
(shaderSource,napi_glShaderSource)
(vertexAttrib3f,napi_glVertexAttrib3f)
(finish,napi_glFinish)
(uniform1f,napi_glUniform1f)
(texImage2D,napi_glTexImage2D)
(deleteTextures,napi_glDeleteTextures)
(getString,napi_glGetString)
(bindFramebuffer,napi_glBindFramebuffer)
(isTexture,napi_glIsTexture)
(depthMask,napi_glDepthMask)
(uniform3iv,napi_glUniform3iv)
(sampleCoverage,napi_glSampleCoverage)
(drawArrays,napi_glDrawArrays)
(getShaderSource,napi_glGetShaderSource)
(vertexAttrib3fv,napi_glVertexAttrib3fv)
(stencilOpSeparate,napi_glStencilOpSeparate)
(polygonOffset,napi_glPolygonOffset)
(stencilMaskSeparate,napi_glStencilMaskSeparate)
(vertexAttrib1fv,napi_glVertexAttrib1fv)
(attachShader,napi_glAttachShader)
(getUniformLocation,napi_glGetUniformLocation)
(clearDepthf,napi_glClearDepthf)
(viewport,napi_glViewport)
(uniform1i,napi_glUniform1i)
(getTexParameteriv,napi_glGetTexParameteriv)
(scissor,napi_glScissor)
(isFramebuffer,napi_glIsFramebuffer)
(generateMipmap,napi_glGenerateMipmap)
(clearStencil,napi_glClearStencil)
(genBuffers,napi_glGenBuffers)
(releaseShaderCompiler,napi_glReleaseShaderCompiler)
(getShaderPrecisionFormat,napi_glGetShaderPrecisionFormat)
(activeTexture,napi_glActiveTexture)
(vertexAttrib2f,napi_glVertexAttrib2f)
(uniformMatrix4fv,napi_glUniformMatrix4fv)
(getRenderbufferParameteriv,napi_glGetRenderbufferParameteriv)
(uniform2f,napi_glUniform2f)
(deleteRenderbuffers,napi_glDeleteRenderbuffers)
(texParameteriv,napi_glTexParameteriv)
(uniformMatrix2fv,napi_glUniformMatrix2fv)
(vertexAttribPointer,napi_glVertexAttribPointer)
(useProgram,napi_glUseProgram)
(copyTexImage2D,napi_glCopyTexImage2D)
(getProgramInfoLog,napi_glGetProgramInfoLog)
(clear,napi_glClear)
(createProgram,napi_glCreateProgram)
(blendFunc,napi_glBlendFunc)
(deleteFramebuffers,napi_glDeleteFramebuffers)
(getTexParameterfv,napi_glGetTexParameterfv)
(uniform3fv,napi_glUniform3fv)
(isBuffer,napi_glIsBuffer)
(genFramebuffers,napi_glGenFramebuffers)
(getIntegerv,napi_glGetIntegerv)
(uniform4i,napi_glUniform4i)
(getShaderiv,napi_glGetShaderiv)
(texParameterf,napi_glTexParameterf)
(getUniformfv,napi_glGetUniformfv)
(compileShader,napi_glCompileShader)
(genTextures,napi_glGenTextures)
(compressedTexSubImage2D,napi_glCompressedTexSubImage2D)
(enableVertexAttribArray,napi_glEnableVertexAttribArray)
(isRenderbuffer,napi_glIsRenderbuffer)
(vertexAttrib2fv,napi_glVertexAttrib2fv)
(bindTexture,napi_glBindTexture)
(getVertexAttribfv,napi_glGetVertexAttribfv)
(blendEquation,napi_glBlendEquation)
(clearColor,napi_glClearColor)
(uniform2i,napi_glUniform2i)
(blendColor,napi_glBlendColor)
(compressedTexImage2D,napi_glCompressedTexImage2D)
(getShaderInfoLog,napi_glGetShaderInfoLog)
(getBooleanv,napi_glGetBooleanv)
(detachShader,napi_glDetachShader)
(blendEquationSeparate,napi_glBlendEquationSeparate)
(enable,napi_glEnable)
(isProgram,napi_glIsProgram)
(uniform4fv,napi_glUniform4fv)
(hint,napi_glHint)
(isShader,napi_glIsShader)
(uniform2fv,napi_glUniform2fv)
(getError,napi_glGetError)
(flush,napi_glFlush)
(vertexAttrib4f,napi_glVertexAttrib4f)
(getFloatv,napi_glGetFloatv)
(uniform3f,napi_glUniform3f)
(stencilOp,napi_glStencilOp)
(linkProgram,napi_glLinkProgram)
