(extensionSupported,napi_extensionSupported)
(getMouseButton,napi_getMouseButton)
(setWindowCloseCallback,napi_setWindowCloseCallback)
(setInputMode,napi_setInputMode)
(getJoystickName,napi_getJoystickName)
(createStandardCursor,napi_createStandardCursor)
(swapBuffers,napi_swapBuffers)
(getVideoModes,napi_getVideoModes)
(windowShouldClose,napi_windowShouldClose)
(setCursor,napi_setCursor)
(setWindowSize,napi_setWindowSize)
(getCurrentContext,napi_getCurrentContext)
(getClipboardString,napi_getClipboardString)
(setClipboardString,napi_setClipboardString)
(makeContextCurrent,napi_makeContextCurrent)
(createWindow,napi_createWindow)
(getCursorPos,napi_getCursorPos)
(getFramebufferSize,napi_getFramebufferSize)
(setFramebufferSizeCallback,napi_setFramebufferSizeCallback)
(pollEvents,napi_pollEvents)
(setCursorPosCallback,napi_setCursorPosCallback)
(destroyCursor,napi_destroyCursor)
(init,napi_init)
(getVideoMode,napi_getVideoMode)
(setWindowSizeCallback,napi_setWindowSizeCallback)
(getJoystickAxes,napi_getJoystickAxes)
(getInputMode,napi_getInputMode)
(destroyWindow,napi_destroyWindow)
(setTime,napi_setTime)
(getMonitors,napi_getMonitors)
(windowHint,napi_windowHint)
(setKeyCallback,napi_setKeyCallback)
(getWindowSize,napi_getWindowSize)
(getKey,napi_getKey)
(joystickPresent,napi_joystickPresent)
(setWindowTitle,napi_setWindowTitle)
(terminate,napi_terminate)
(getTimerValue,napi_getTimerValue)
(getKeyName,napi_getKeyName)
(swapInterval,napi_swapInterval)
(getPrimaryMonitor,napi_getPrimaryMonitor)
(setMouseButtonCallback,napi_setMouseButtonCallback)
(getVersionString,napi_getVersionString)
(getJoystickButtons,napi_getJoystickButtons)
(setErrorCallback,napi_setErrorCallback)
(getProcAddress,napi_getProcAddress)
(getTimerFrequency,napi_getTimerFrequency)
(getVersion,napi_getVersion)
(getTime,napi_getTime)
(setCursorPos,napi_setCursorPos)
