(GetNamedAsset,napi_GetNamedAsset)
(SetPasswordProvisioning,napi_SetPasswordProvisioning)
(GetConnectedBTDeviceName,napi_GetConnectedBTDeviceName)
(GetBusyLightStatus,napi_GetBusyLightStatus)
(EnableRemoteManagement,napi_EnableRemoteManagement)
(IsEqualizerEnabled,napi_IsEqualizerEnabled)
(StopBTPairing,napi_StopBTPairing)
(SetXpressUrl,napi_SetXpressUrl)
(GetConstBooleanSync,napi_GetConstBooleanSync)
(GetDeviceImagePath,napi_GetDeviceImagePath)
(GetBatteryStatus,napi_GetBatteryStatus)
(GetDiagnosticLogFile,napi_GetDiagnosticLogFile)
(SetSecondVideoStream,napi_SetSecondVideoStream)
(GetRoomCapacity,napi_GetRoomCapacity)
(GetTimestamp,napi_GetTimestamp)
(SetEqualizerParameters,napi_SetEqualizerParameters)
(IsLocked,napi_IsLocked)
(GetSupportedButtonEvents,napi_GetSupportedButtonEvents)
(SetIntelligentZoomLatency,napi_SetIntelligentZoomLatency)
(CheckForFirmwareUpdate,napi_CheckForFirmwareUpdate)
(GetSubDeviceProperty,napi_GetSubDeviceProperty)
(GetConstSync,napi_GetConstSync)
(SetRoomCapacity,napi_SetRoomCapacity)
(GetWhiteboardOnMainStream,napi_GetWhiteboardOnMainStream)
(GetNotificationUsage,napi_GetNotificationUsage)
(SyncExperiment,napi_SyncExperiment)
(SetOffHook,napi_SetOffHook)
(GetEqualizerParameters,napi_GetEqualizerParameters)
(NativeAddonLog,napi_NativeAddonLog)
(SetTimestamp,napi_SetTimestamp)
(IsBusyLightSupported,napi_IsBusyLightSupported)
(IsFirmwareLockEnabled,napi_IsFirmwareLockEnabled)
(IsVideoDeviceStreaming,napi_IsVideoDeviceStreaming)
(SetZoom,napi_SetZoom)
(GetRemoteMmiFocus,napi_GetRemoteMmiFocus)
(DisconnectPairedDevice,napi_DisconnectPairedDevice)
(GetUSBState,napi_GetUSBState)
(GetSensorRegions,napi_GetSensorRegions)
(GetSupportedFeatures,napi_GetSupportedFeatures)
(ClearPairingList,napi_ClearPairingList)
(ResetPanTiltZoom,napi_ResetPanTiltZoom)
(SetSharpnessLevel,napi_SetSharpnessLevel)
(GetWhiteBalanceLimits,napi_GetWhiteBalanceLimits)
(GetVersion,napi_GetVersion)
(ApplyColorControlPreset,napi_ApplyColorControlPreset)
(GetSearchDeviceList,napi_GetSearchDeviceList)
(GetConstStringSync,napi_GetConstStringSync)
(UploadWavRingtone,napi_UploadWavRingtone)
(ReleaseRemoteMmiFocus,napi_ReleaseRemoteMmiFocus)
(SetAutoPairing,napi_SetAutoPairing)
(CancelFirmwareDownload,napi_CancelFirmwareDownload)
(GetSecureConnectionMode,napi_GetSecureConnectionMode)
(GetDatetime,napi_GetDatetime)
(SetWhiteBalance,napi_SetWhiteBalance)
(GetVideoTransitionStyle,napi_GetVideoTransitionStyle)
(SetBTPairing,napi_SetBTPairing)
(SetVideoMode,napi_SetVideoMode)
(GetFirmwareVersionBundle,napi_GetFirmwareVersionBundle)
(ReleaseLock,napi_ReleaseLock)
(GetPictureInPicture,napi_GetPictureInPicture)
(SetPanTiltRelativeAction,napi_SetPanTiltRelativeAction)
(UpdateFirmware,napi_UpdateFirmware)
(GetIntelligentZoomLatency,napi_GetIntelligentZoomLatency)
(SetWhiteboardPosition,napi_SetWhiteboardPosition)
(SetSaturationLevel,napi_SetSaturationLevel)
(EnableEqualizer,napi_EnableEqualizer)
(SetDECTPairingKey,napi_SetDECTPairingKey)
(GetFailedSettingNames,napi_GetFailedSettingNames)
(RestoreVideoRoomDefaults,napi_RestoreVideoRoomDefaults)
(IsSettingProtectionEnabled,napi_IsSettingProtectionEnabled)
(GetDeviceImageThumbnailPath,napi_GetDeviceImageThumbnailPath)
(GetEthernetIPv4Status,napi_GetEthernetIPv4Status)
(GetHidWorkingState,napi_GetHidWorkingState)
(SetZoomRelativeAction,napi_SetZoomRelativeAction)
(DisconnectFromJabraApplication,napi_DisconnectFromJabraApplication)
(SetRoomCapacityNotificationEnabled,napi_SetRoomCapacityNotificationEnabled)
(GetErrorString,napi_GetErrorString)
(GetVideoHDRDefault,napi_GetVideoHDRDefault)
(IsMuteSupported,napi_IsMuteSupported)
(SetDatetime,napi_SetDatetime)
(SetWizardMode,napi_SetWizardMode)
(IsRingerSupported,napi_IsRingerSupported)
(SetBrightnessLevel,napi_SetBrightnessLevel)
(GetConstIntegerSync,napi_GetConstIntegerSync)
(IsHoldSupported,napi_IsHoldSupported)
(UploadImage,napi_UploadImage)
(GetConstFieldSync,napi_GetConstFieldSync)
(GetSharpnessLevel,napi_GetSharpnessLevel)
(IsCameraStreaming,napi_IsCameraStreaming)
(IsSoftphoneInFocus,napi_IsSoftphoneInFocus)
(SetNotificationStyle,napi_SetNotificationStyle)
(IsSetDateTimeSupported,napi_IsSetDateTimeSupported)
(IsOnlineSupported,napi_IsOnlineSupported)
(PlayRingTone,napi_PlayRingTone)
(GetWLANIPv4Status,napi_GetWLANIPv4Status)
(ConnectPairedDevice,napi_ConnectPairedDevice)
(ConfigureXpressManagement,napi_ConfigureXpressManagement)
(GetContrastLimits,napi_GetContrastLimits)
(SetContrastLevel,napi_SetContrastLevel)
(GetNativeAddonLogConfig,napi_GetNativeAddonLogConfig)
(IsGnHidStdHidSupported,napi_IsGnHidStdHidSupported)
(IsBatteryStatusSupported,napi_IsBatteryStatusSupported)
(SetSettings,napi_SetSettings)
(SetVideoHDRDefault,napi_SetVideoHDRDefault)
(Initialize,napi_Initialize)
(GetButtonFocus,napi_GetButtonFocus)
(SetNetworkAuthenticationIdentity,napi_SetNetworkAuthenticationIdentity)
(StoreColorControlPreset,napi_StoreColorControlPreset)
(PreloadDeviceInfo,napi_PreloadDeviceInfo)
(GetVideoHDR,napi_GetVideoHDR)
(IsPairingListSupported,napi_IsPairingListSupported)
(SetVideoTransitionStyle,napi_SetVideoTransitionStyle)
(IsUploadRingtoneSupported,napi_IsUploadRingtoneSupported)
(GetZoom,napi_GetZoom)
(GetFirmwareFilePath,napi_GetFirmwareFilePath)
(GetSettings,napi_GetSettings)
(ConnectBTDevice,napi_ConnectBTDevice)
(SetPanTilt,napi_SetPanTilt)
(GetRoomCapacityNotificationEnabled,napi_GetRoomCapacityNotificationEnabled)
(IsEqualizerSupported,napi_IsEqualizerSupported)
(GetContrastLevel,napi_GetContrastLevel)
(SetWhiteboardOnMainStream,napi_SetWhiteboardOnMainStream)
(IsFeatureSupported,napi_IsFeatureSupported)
(StorePTZPreset,napi_StorePTZPreset)
(SetNotificationUsage,napi_SetNotificationUsage)
(GetSetting,napi_GetSetting)
(SetHidWorkingState,napi_SetHidWorkingState)
(GetLanguagePackInformation,napi_GetLanguagePackInformation)
(ApplyPTZPreset,napi_ApplyPTZPreset)
(IsDevLogEnabled,napi_IsDevLogEnabled)
(GetWizardMode,napi_GetWizardMode)
(SetOnline,napi_SetOnline)
(GetSecondVideoStream,napi_GetSecondVideoStream)
(GetVideoMode,napi_GetVideoMode)
(DownloadFirmware,napi_DownloadFirmware)
(EnableFirmwareLock,napi_EnableFirmwareLock)
(TriggerDiagnosticLogGeneration,napi_TriggerDiagnosticLogGeneration)
(GetNetworkAuthenticationMode,napi_GetNetworkAuthenticationMode)
(RebootDevice,napi_RebootDevice)
(SetPictureInPicture,napi_SetPictureInPicture)
(GetFirmwareVersion,napi_GetFirmwareVersion)
(SetMute,napi_SetMute)
(IsOffHookSupported,napi_IsOffHookSupported)
(ClearPairedDevice,napi_ClearPairedDevice)
(GetNotificationStyle,napi_GetNotificationStyle)
(SetRemoteMmiAction,napi_SetRemoteMmiAction)
(GetRemoteControlBatteryStatus,napi_GetRemoteControlBatteryStatus)
(IsRemoteMmiInFocus,napi_IsRemoteMmiInFocus)
(GetWhiteBalance,napi_GetWhiteBalance)
(FactoryReset,napi_FactoryReset)
(IsRemoteManagementEnabled,napi_IsRemoteManagementEnabled)
(GetRemoteControlFirmwareVersion,napi_GetRemoteControlFirmwareVersion)
(GetPanics,napi_GetPanics)
(GetESN,napi_GetESN)
(ResetImageQualityControls,napi_ResetImageQualityControls)
(UnInitialize,napi_UnInitialize)
(SetBusyLightStatus,napi_SetBusyLightStatus)
(GetXpressManagementNetworkStatus,napi_GetXpressManagementNetworkStatus)
(GetPanTilt,napi_GetPanTilt)
